market,company,destination,segment,cohort_year,model,powertrain,units,reason,coverage_note
EU27,hyundai,BE,passenger_car,2024,NEXO,FCEV,2,"the EEA monitoring dataset records a fuel-cell car's tailpipe as zero and publishes no hydrogen consumption, so there is no certified value to put a supply pathway behind",
EU27,hyundai,DE,passenger_car,2024,,BEV,8,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,passenger_car,2024,AX1,BEV,8,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,passenger_car,2024,CE,BEV,2,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,passenger_car,2024,CE EV,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,passenger_car,2024,CE N,BEV,6,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,passenger_car,2024,CE PE,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,passenger_car,2024,CV E GT,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,passenger_car,2024,I20 N RALLY 2,ICE,17,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,passenger_car,2024,IONIQ9,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,passenger_car,2024,JW,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,passenger_car,2024,JW1 EV,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,passenger_car,2024,ME,BEV,4,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,passenger_car,2024,MX-5,PHEV,2,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,passenger_car,2024,NE PE,BEV,5,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,passenger_car,2024,NE-N,BEV,2,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,passenger_car,2024,NEXO,FCEV,8,"the EEA monitoring dataset records a fuel-cell car's tailpipe as zero and publishes no hydrogen consumption, so there is no certified value to put a supply pathway behind",
EU27,hyundai,DE,passenger_car,2024,NH2,FCEV,2,"the EEA monitoring dataset records a fuel-cell car's tailpipe as zero and publishes no hydrogen consumption, so there is no certified value to put a supply pathway behind",
EU27,hyundai,DE,passenger_car,2024,PALISADE,HEV,2,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,passenger_car,2024,PALISADE,ICE,1,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,passenger_car,2024,SX2,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,DE,passenger_car,2024,SX2 E,BEV,2,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,ES,passenger_car,2024,NEXO,FCEV,7,"the EEA monitoring dataset records a fuel-cell car's tailpipe as zero and publishes no hydrogen consumption, so there is no certified value to put a supply pathway behind",
EU27,hyundai,FR,passenger_car,2024,NEXO,FCEV,1,"the EEA monitoring dataset records a fuel-cell car's tailpipe as zero and publishes no hydrogen consumption, so there is no certified value to put a supply pathway behind",
EU27,hyundai,RO,passenger_car,2024,TUCSON IX35 LM,ICE,1,the registration dataset reports no certified intensity for this cell,
EU27,hyundai,SE,passenger_car,2024,NEXO,FCEV,2,"the EEA monitoring dataset records a fuel-cell car's tailpipe as zero and publishes no hydrogen consumption, so there is no certified value to put a supply pathway behind",
EU27,kia,DE,passenger_car,2024,,BEV,7,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,passenger_car,2024,CT,BEV,5,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,passenger_car,2024,CV,BEV,13,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,passenger_car,2024,CV E GT,BEV,2,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,passenger_car,2024,CV GT,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,passenger_car,2024,CVE GT,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,passenger_car,2024,KIA MOTOR (ROK),BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,passenger_car,2024,KIA TELLURIDE,ICE,1,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,passenger_car,2024,MQ4,PHEV,4,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,passenger_car,2024,MV,BEV,5,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,passenger_car,2024,MV GT,BEV,4,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,passenger_car,2024,QV,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,passenger_car,2024,RAY,ICE,3,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,passenger_car,2024,SG2,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,passenger_car,2024,SG2,PHEV,1,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,passenger_car,2024,SV,BEV,10,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,passenger_car,2024,SW,BEV,2,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,passenger_car,2024,SW1,BEV,1,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,passenger_car,2024,SZ1,BEV,3,the registration dataset reports no certified intensity for this cell,
EU27,kia,DE,passenger_car,2024,TELLURIDE,ICE,2,the registration dataset reports no certified intensity for this cell,
EU27,nissan,DE,passenger_car,2024,,ICE,2,the registration dataset reports no certified intensity for this cell,
EU27,nissan,DE,passenger_car,2024,NISSAN,ICE,1,the registration dataset reports no certified intensity for this cell,
EU27,nissan,DE,passenger_car,2024,NISSAN PATHFINDER,ICE,1,the registration dataset reports no certified intensity for this cell,
EU27,nissan,DE,passenger_car,2024,NISSAN Z,ICE,10,the registration dataset reports no certified intensity for this cell,
EU27,nissan,DE,passenger_car,2024,PATHFINDER,ICE,1,the registration dataset reports no certified intensity for this cell,
EU27,nissan,DE,passenger_car,2024,Z,ICE,3,the registration dataset reports no certified intensity for this cell,
