market,country,segment,scenario,t,calendar_year,r_fleet,r_power,fleet_intensity_gco2_km,e_ref_kgco2_per_vehicle,grid_kgco2_per_kwh
EU27,AT,passenger_car,S1,0,2024,0.026658229,0.048804873,194.379125,2344.0617,0.10348
EU27,AT,passenger_car,S1,1,2025,0.026658229,0.048804873,194.379125,2281.573166,0.098429672
EU27,AT,passenger_car,S1,2,2026,0.026658229,0.048804873,194.379125,2220.750466,0.093625824
EU27,AT,passenger_car,S1,3,2027,0.026658229,0.048804873,194.379125,2161.549192,0.089056428
EU27,AT,passenger_car,S1,4,2028,0.026658229,0.048804873,194.379125,2103.926119,0.08471004
EU27,AT,passenger_car,S1,5,2029,0.026658229,0.048804873,194.379125,2047.839174,0.080575777
EU27,AT,passenger_car,S1,6,2030,0.026658229,0.048804873,194.379125,1993.247409,0.076643287
EU27,AT,passenger_car,S1,7,2031,0.026658229,0.048804873,194.379125,1940.110963,0.072902721
EU27,AT,passenger_car,S1,8,2032,0.026658229,0.048804873,194.379125,1888.391041,0.069344713
EU27,AT,passenger_car,S1,9,2033,0.026658229,0.048804873,194.379125,1838.04988,0.065960353
EU27,AT,passenger_car,S1,10,2034,0.026658229,0.048804873,194.379125,1789.050725,0.062741166
EU27,AT,passenger_car,S1,11,2035,0.026658229,0.048804873,194.379125,1741.357801,0.059679092
EU27,AT,passenger_car,S1,12,2036,0.026658229,0.048804873,194.379125,1694.936286,0.056766461
EU27,AT,passenger_car,S1,13,2037,0.026658229,0.048804873,194.379125,1649.752286,0.053995981
EU27,AT,passenger_car,S1,14,2038,0.026658229,0.048804873,194.379125,1605.772812,0.051360714
EU27,AT,passenger_car,S1,15,2039,0.026658229,0.048804873,194.379125,1562.965753,0.048854061
EU27,AT,passenger_car,S1,16,2040,0.026658229,0.048804873,194.379125,1521.299854,0.046469745
EU27,AT,passenger_car,S1,17,2041,0.026658229,0.048804873,194.379125,1480.744694,0.044201795
EU27,AT,passenger_car,S1,18,2042,0.026658229,0.048804873,194.379125,1441.270663,0.042044532
EU27,AT,passenger_car,S1,19,2043,0.026658229,0.048804873,194.379125,1402.84894,0.039992554
EU27,AT,passenger_car,S2,0,2024,0.135101686,0.085599875,194.379125,2344.0617,0.10348
EU27,AT,passenger_car,S2,1,2025,0.135101686,0.085599875,194.379125,2027.375012,0.094622125
EU27,AT,passenger_car,S2,2,2026,0.135101686,0.085599875,194.379125,1753.47323,0.086522483
EU27,AT,passenger_car,S2,3,2027,0.135101686,0.085599875,194.379125,1516.57604,0.079116169
EU27,AT,passenger_car,S2,4,2028,0.135101686,0.085599875,194.379125,1311.68406,0.072343835
EU27,AT,passenger_car,S2,5,2029,0.135101686,0.085599875,194.379125,1134.473332,0.066151212
EU27,AT,passenger_car,S2,6,2030,0.135101686,0.085599875,194.379125,981.204072,0.060488676
EU27,AT,passenger_car,S2,7,2031,0.135101686,0.085599875,194.379125,848.641748,0.055310853
EU27,AT,passenger_car,S2,8,2032,0.135101686,0.085599875,194.379125,733.988817,0.050576251
EU27,AT,passenger_car,S2,9,2033,0.135101686,0.085599875,194.379125,634.82569,0.04624693
EU27,AT,passenger_car,S2,10,2034,0.135101686,0.085599875,194.379125,549.059669,0.042288199
EU27,AT,passenger_car,S2,11,2035,0.135101686,0.085599875,194.379125,474.880782,0.038668334
EU27,AT,passenger_car,S2,12,2036,0.135101686,0.085599875,194.379125,410.723588,0.03535833
EU27,AT,passenger_car,S2,13,2037,0.135101686,0.085599875,194.379125,355.234139,0.032331661
EU27,AT,passenger_car,S2,14,2038,0.135101686,0.085599875,194.379125,307.241408,0.029564075
EU27,AT,passenger_car,S2,15,2039,0.135101686,0.085599875,194.379125,265.732575,0.027033394
EU27,AT,passenger_car,S2,16,2040,0.135101686,0.085599875,194.379125,229.831656,0.024719339
