market,country,segment,cohort_year,scenario,t,calendar_year,r_fleet,r_power,fleet_intensity_gco2_km,e_ref_kgco2_per_vehicle,grid_kgco2_per_kwh
US,US,light_duty,2024,S1,0,2024,0.011071004,0.029270805,216.966958,3877.899304,0.38378
US,US,light_duty,2024,S1,1,2025,0.011071004,0.029270805,216.966958,3834.967066,0.37254645
US,US,light_duty,2024,S1,2,2026,0.011071004,0.029270805,216.966958,3792.51013,0.361641716
US,US,light_duty,2024,S1,3,2027,0.011071004,0.029270805,216.966958,3750.523235,0.351056172
US,US,light_duty,2024,S1,4,2028,0.011071004,0.029270805,216.966958,3709.001177,0.340780475
US,US,light_duty,2024,S1,5,2029,0.011071004,0.029270805,216.966958,3667.938811,0.330805556
US,US,light_duty,2024,S1,6,2030,0.011071004,0.029270805,216.966958,3627.331045,0.321122611
US,US,light_duty,2024,S1,7,2031,0.011071004,0.029270805,216.966958,3587.172849,0.311723094
US,US,light_duty,2024,S1,8,2032,0.011071004,0.029270805,216.966958,3547.459244,0.302598708
US,US,light_duty,2024,S1,9,2033,0.011071004,0.029270805,216.966958,3508.185308,0.2937414
US,US,light_duty,2024,S1,10,2034,0.011071004,0.029270805,216.966958,3469.346175,0.285143353
US,US,light_duty,2024,S1,11,2035,0.011071004,0.029270805,216.966958,3430.937029,0.276796978
US,US,light_duty,2024,S1,12,2036,0.011071004,0.029270805,216.966958,3392.953112,0.268694907
US,US,light_duty,2024,S1,13,2037,0.011071004,0.029270805,216.966958,3355.389714,0.260829991
US,US,light_duty,2024,S1,14,2038,0.011071004,0.029270805,216.966958,3318.242181,0.253195287
US,US,light_duty,2024,S1,15,2039,0.011071004,0.029270805,216.966958,3281.505909,0.245784057
US,US,light_duty,2024,S2,0,2024,0.066050709,0.043346855,216.966958,3877.899304,0.38378
US,US,light_duty,2024,S2,1,2025,0.066050709,0.043346855,216.966958,3621.761306,0.367144344
US,US,light_duty,2024,S2,2,2026,0.066050709,0.043346855,216.966958,3382.541404,0.351229791
US,US,light_duty,2024,S2,3,2027,0.066050709,0.043346855,216.966958,3159.122146,0.336005085
US,US,light_duty,2024,S2,4,2028,0.066050709,0.043346855,216.966958,2950.459888,0.321440321
US,US,light_duty,2024,S2,5,2029,0.066050709,0.043346855,216.966958,2755.579921,0.307506894
