company,market,cohort_year,destination,scenario,t,calendar_year,units,e_ref_tco2e,e_prod_tco2e,ti_tco2e,cumulative_ti_tco2e,e_ref_kgco2e_per_vehicle,e_prod_kgco2e_per_vehicle,gap_kgco2e_per_vehicle,direction
hyundai,EU27,2024,AT,S1,0,2024,11364,26637.9173,19621.3949,-7016.5224,-7016.5224,2344.0617,1726.6275,-617.4342,contribution
hyundai,EU27,2024,AT,S1,1,2025,11364,25927.7973,19608.5022,-6319.2951,-13335.8175,2281.5732,1725.493,-556.0802,contribution
hyundai,EU27,2024,AT,S1,2,2026,11364,25236.6088,19596.2384,-5640.3704,-18976.1879,2220.7505,1724.4138,-496.3367,contribution
hyundai,EU27,2024,AT,S1,3,2027,11364,24563.8448,19584.5734,-4979.2714,-23955.4593,2161.5492,1723.3873,-438.1619,contribution
hyundai,EU27,2024,AT,S1,4,2028,11364,23909.0165,19573.4774,-4335.5391,-28290.9984,2103.9261,1722.4109,-381.5152,contribution
hyundai,EU27,2024,AT,S1,5,2029,11364,23271.6442,19562.9231,-3708.7211,-31999.7195,2047.8392,1721.4821,-326.357,contribution
hyundai,EU27,2024,AT,S1,6,2030,11364,22651.2635,19552.8838,-3098.3797,-35098.0992,1993.2474,1720.5987,-272.6487,contribution
hyundai,EU27,2024,AT,S1,7,2031,11364,22047.4211,19543.3346,-2504.0865,-37602.1857,1940.111,1719.7584,-220.3526,contribution
hyundai,EU27,2024,AT,S1,8,2032,11364,21459.6758,19534.2514,-1925.4244,-39527.6101,1888.391,1718.9591,-169.4319,contribution
hyundai,EU27,2024,AT,S1,9,2033,11364,20887.5987,19525.6115,-1361.9872,-40889.5973,1838.0499,1718.1988,-119.851,contribution
hyundai,EU27,2024,AT,S1,10,2034,11364,20330.7727,19517.3934,-813.3793,-41702.9766,1789.0507,1717.4757,-71.5751,contribution
hyundai,EU27,2024,AT,S1,11,2035,11364,19788.7902,19509.576,-279.2142,-41982.1908,1741.3578,1716.7878,-24.5701,contribution
hyundai,EU27,2024,AT,S1,12,2036,11364,19261.2561,19502.1406,240.8845,-41741.3063,1694.9363,1716.1335,21.1972,liability
hyundai,EU27,2024,AT,S1,13,2037,11364,18747.7852,19495.0679,747.2827,-40994.0236,1649.7523,1715.5111,65.7588,liability
hyundai,EU27,2024,AT,S1,14,2038,11364,18248.0022,19488.3403,1240.3381,-39753.6855,1605.7728,1714.9191,109.1463,liability
hyundai,EU27,2024,AT,S2,0,2024,11364,26637.9173,19621.3949,-7016.5224,-7016.5224,2344.0617,1726.6275,-617.4342,contribution
hyundai,EU27,2024,AT,S2,1,2025,11364,23039.0898,19598.7819,-3440.3079,-10456.8303,2027.375,1724.6376,-302.7374,contribution
hyundai,EU27,2024,AT,S2,2,2026,11364,19926.4694,19578.1044,-348.365,-10805.1953,1753.4732,1722.8181,-30.6551,contribution
hyundai,EU27,2024,AT,S2,3,2027,11364,17234.3703,19559.1969,2324.8266,-8480.3687,1516.5761,1721.1543,204.5782,liability
