company,scenario,t,calendar_year,surviving_vehicles,ti_tco2e
honda,S1,0,2024,38764,1502.0217
honda,S1,1,2025,38764,210.5513
honda,S1,2,2026,38764,-1046.5522
honda,S1,3,2027,38764,-2270.1707
honda,S1,4,2028,38764,-3461.1636
honda,S1,5,2029,38764,-4620.3678
honda,S1,6,2030,38764,-5748.598
honda,S1,7,2031,38764,-6846.6475
honda,S1,8,2032,38764,-7915.2883
honda,S1,9,2033,38764,-8955.2716
honda,S1,10,2034,38764,-9967.3282
honda,S1,11,2035,38764,-10952.1692
honda,S1,12,2036,38571,-12105.2415
honda,S1,13,2037,38571,-13014.8401
honda,S1,14,2038,36896,-12748.7758
honda,S1,15,2039,28280,-10800.6138
honda,S1,16,2040,25035,-10183.9145
honda,S1,17,2041,20415,-9086.2852
honda,S1,18,2042,11355,-3673.7575
honda,S1,19,2043,11355,-3781.8883
honda,S1,20,2044,11199,-3944.9798
honda,S1,21,2045,6639,-1532.5525
honda,S1,22,2046,6610,-1517.7253
honda,S1,23,2047,5117,-959.0003
honda,S1,24,2048,1069,-729.0743
honda,S2,0,2024,38764,1502.0217
honda,S2,1,2025,38764,-1455.2961
honda,S2,2,2026,38764,-4284.1371
honda,S2,3,2027,38764,-6990.0828
honda,S2,4,2028,38764,-9578.4723
honda,S2,5,2029,38764,-12054.4125
honda,S2,6,2030,38764,-14422.7888
honda,S2,7,2031,38764,-16688.274
honda,S2,8,2032,38764,-18855.3383
honda,S2,9,2033,38764,-20928.2572
honda,S2,10,2034,38764,-22911.1209
honda,S2,11,2035,38764,-24807.8417
honda,S2,12,2036,38571,-26812.6398
honda,S2,13,2037,38571,-28525.0747
honda,S2,14,2038,36896,-28555.393
honda,S2,15,2039,28280,-24534.0245
honda,S2,16,2040,25035,-23168.9547
honda,S2,17,2041,20415,-20721.5257
honda,S2,18,2042,11355,-11467.1169
honda,S2,19,2043,11355,-11846.4799
honda,S2,20,2044,11199,-12066.7032
honda,S2,21,2045,6639,-7892.365
honda,S2,22,2046,6610,-8057.1585
honda,S2,23,2047,5117,-6846.3104
honda,S2,24,2048,1069,-1503.8402
honda,S3,0,2024,38764,1502.0217
honda,S3,1,2025,38764,-7603.896
honda,S3,2,2026,38764,-15475.095
honda,S3,3,2027,38764,-22278.7725
honda,S3,4,2028,38764,-28159.5042
honda,S3,5,2029,38764,-33242.3033
honda,S3,6,2030,38764,-37635.2659
honda,S3,7,2031,38764,-41431.8591
honda,S3,8,2032,38764,-44712.8992
honda,S3,9,2033,38764,-47548.2632
honda,S3,10,2034,38764,-49998.3684
honda,S3,11,2035,38764,-52115.4519
honda,S3,12,2036,38571,-53766.4013
honda,S3,13,2037,38571,-55325.5619
honda,S3,14,2038,36896,-53742.9529
honda,S3,15,2039,28280,-43413.3644
honda,S3,16,2040,25035,-39528.212
honda,S3,17,2041,20415,-33806.086
honda,S3,18,2042,11355,-18710.1224
honda,S3,19,2043,11355,-18901.2147
honda,S3,20,2044,11199,-18772.3791
honda,S3,21,2045,6639,-11399.9538
honda,S3,22,2046,6610,-11447.6666
honda,S3,23,2047,5117,-9327.6343
honda,S3,24,2048,1069,-1960.8854
hyundai,S1,0,2024,411225,16205.9503
hyundai,S1,1,2025,411225,2181.6932
hyundai,S1,2,2026,411225,-11480.3731
hyundai,S1,3,2027,411225,-24789.4541
hyundai,S1,4,2028,411225,-37754.5057
hyundai,S1,5,2029,411225,-50384.2404
hyundai,S1,6,2030,411225,-62687.1333
hyundai,S1,7,2031,411225,-74671.4281
hyundai,S1,8,2032,411225,-86345.1428
hyundai,S1,9,2033,411225,-97716.0765
hyundai,S1,10,2034,411225,-108791.814
hyundai,S1,11,2035,411225,-119579.7327
hyundai,S1,12,2036,409957,-132016.6483
hyundai,S1,13,2037,409957,-142102.7248
hyundai,S1,14,2038,399046,-145356.2888
hyundai,S1,15,2039,291800,-109543.9766
hyundai,S1,16,2040,251780,-103402.3343
hyundai,S1,17,2041,204584,-93603.8958
hyundai,S1,18,2042,124163,-47906.6372
hyundai,S1,19,2043,124163,-49680.8992
hyundai,S1,20,2044,120826,-52860.6074
hyundai,S1,21,2045,50393,-12009.5462
hyundai,S1,22,2046,49655,-11919.122
hyundai,S1,23,2047,43200,-9733.4598
hyundai,S1,24,2048,9686,-6222.1706
hyundai,S2,0,2024,411225,16205.9503
hyundai,S2,1,2025,411225,-15555.2174
hyundai,S2,2,2026,411225,-45936.5627
hyundai,S2,3,2027,411225,-74998.0303
hyundai,S2,4,2028,411225,-102796.9603
hyundai,S2,5,2029,411225,-129388.2022
hyundai,S2,6,2030,411225,-154824.2225
hyundai,S2,7,2031,411225,-179155.2081
hyundai,S2,8,2032,411225,-202429.1657
hyundai,S2,9,2033,411225,-224692.0168
hyundai,S2,10,2034,411225,-245987.6874
hyundai,S2,11,2035,411225,-266358.1955
hyundai,S2,12,2036,409957,-287690.1667
hyundai,S2,13,2037,409957,-306177.6485
hyundai,S2,14,2038,399046,-314255.7467
hyundai,S2,15,2039,291800,-249733.4498
hyundai,S2,16,2040,251780,-229440.0687
hyundai,S2,17,2041,204584,-205474.2099
hyundai,S2,18,2042,124163,-126083.5717
hyundai,S2,19,2043,124163,-130411.7999
hyundai,S2,20,2044,120826,-131662.8815
hyundai,S2,21,2045,50393,-61893.3232
hyundai,S2,22,2046,49655,-62859.3148
hyundai,S2,23,2047,43200,-57371.1882
hyundai,S2,24,2048,9686,-13423.9221
hyundai,S3,0,2024,411225,16205.9503
hyundai,S3,1,2025,411225,-80921.0757
hyundai,S3,2,2026,411225,-164844.6851
hyundai,S3,3,2027,411225,-237355.6491
hyundai,S3,4,2028,411225,-300002.2058
hyundai,S3,5,2029,411225,-354122.8789
hyundai,S3,6,2030,411225,-400874.856
hyundai,S3,7,2031,411225,-441258.5315
hyundai,S3,8,2032,411225,-476138.7273
hyundai,S3,9,2033,411225,-506263.0454
hyundai,S3,10,2034,411225,-532277.7369
hyundai,S3,11,2035,411225,-554741.4246
hyundai,S3,12,2036,409957,-573621.1945
hyundai,S3,13,2037,409957,-590229.0024
hyundai,S3,14,2038,399046,-586444.0736
hyundai,S3,15,2039,291800,-446193.3357
hyundai,S3,16,2040,251780,-397696.8748
hyundai,S3,17,2041,204584,-340200.2046
hyundai,S3,18,2042,124163,-207804.0164
hyundai,S3,19,2043,124163,-209964.6475
hyundai,S3,20,2044,120826,-205742.4396
hyundai,S3,21,2045,50393,-87303.2719
hyundai,S3,22,2046,49655,-87144.9315
hyundai,S3,23,2047,43200,-77368.7584
hyundai,S3,24,2048,9686,-17325.1576
kia,S1,0,2024,380464,21335.1273
kia,S1,1,2025,380464,7999.3545
kia,S1,2,2026,380464,-4976.0224
kia,S1,3,2027,380464,-17600.3172
kia,S1,4,2028,380464,-29882.605
kia,S1,5,2029,380464,-41831.7268
kia,S1,6,2030,380464,-53456.2924
kia,S1,7,2031,380464,-64764.6854
kia,S1,8,2032,380464,-75765.0669
kia,S1,9,2033,380464,-86465.3804
kia,S1,10,2034,380464,-96873.3558
kia,S1,11,2035,380464,-106996.5149
kia,S1,12,2036,379021,-118734.4278
kia,S1,13,2037,379021,-128140.5488
kia,S1,14,2038,364731,-130422.2192
kia,S1,15,2039,289376,-110491.6279
kia,S1,16,2040,236605,-103811.7927
kia,S1,17,2041,193813,-92708.5161
kia,S1,18,2042,121628,-49696.1895
kia,S1,19,2043,121628,-51402.9069
kia,S1,20,2044,118354,-54158.0032
kia,S1,21,2045,51872,-18620.3285
kia,S1,22,2046,51378,-18461.8677
kia,S1,23,2047,40556,-11758.0767
kia,S1,24,2048,4084,-3340.2745
kia,S2,0,2024,380464,21335.1273
kia,S2,1,2025,380464,-7980.9667
kia,S2,2,2026,380464,-36023.4612
kia,S2,3,2027,380464,-62847.6863
kia,S2,4,2028,380464,-88506.568
kia,S2,5,2029,380464,-113050.7332
kia,S2,6,2030,380464,-136528.6093
kia,S2,7,2031,380464,-158986.5197
kia,S2,8,2032,380464,-180468.7755
kia,S2,9,2033,380464,-201017.7629
kia,S2,10,2034,380464,-220674.0263
kia,S2,11,2035,380464,-239476.3492
kia,S2,12,2036,379021,-259285.1782
kia,S2,13,2037,379021,-276316.8572
kia,S2,14,2038,364731,-281551.438
kia,S2,15,2039,289376,-242560.843
kia,S2,16,2040,236605,-224444.3753
kia,S2,17,2041,193813,-200814.5537
kia,S2,18,2042,121628,-126042.4921
kia,S2,19,2043,121628,-130293.6374
kia,S2,20,2044,118354,-131226.7905
kia,S2,21,2045,51872,-67953.3783
kia,S2,22,2046,51378,-69072.0263
kia,S2,23,2047,40556,-56980.31
kia,S2,24,2048,4084,-6322.6198
kia,S3,0,2024,380464,21335.1273
kia,S3,1,2025,380464,-68018.7071
kia,S3,2,2026,380464,-145210.9071
kia,S3,3,2027,380464,-211892.2151
kia,S3,4,2028,380464,-269489.6978
kia,S3,5,2029,380464,-319237.0212
kia,S3,6,2030,380464,-362200.6307
kia,S3,7,2031,380464,-399302.3903
kia,S3,8,2032,380464,-431339.1588
kia,S3,9,2033,380464,-458999.7172
kia,S3,10,2034,380464,-482879.407
kia,S3,11,2035,380464,-503492.7858
kia,S3,12,2036,379021,-520391.394
kia,S3,13,2037,379021,-535588.8213
kia,S3,14,2038,364731,-526823.7592
kia,S3,15,2039,289376,-434556.3808
kia,S3,16,2040,236605,-382771.1155
kia,S3,17,2041,193813,-328586.5354
kia,S3,18,2042,121628,-205886.0554
kia,S3,19,2043,121628,-207999.2021
kia,S3,20,2044,118354,-203509.5321
kia,S3,21,2045,51872,-94497.7656
kia,S3,22,2046,51378,-94536.553
kia,S3,23,2047,40556,-75577.3408
kia,S3,24,2048,4084,-8039.091
toyota,S1,0,2024,778461,92207.474
toyota,S1,1,2025,778461,66352.2334
toyota,S1,2,2026,778461,41292.0494
toyota,S1,3,2027,778461,16998.2113
toyota,S1,4,2028,778461,-6556.4601
toyota,S1,5,2029,778461,-29397.7213
toyota,S1,6,2030,778461,-51550.0062
toyota,S1,7,2031,778461,-73036.5175
toyota,S1,8,2032,778461,-93879.3103
toyota,S1,9,2033,778461,-114099.3699
toyota,S1,10,2034,778461,-133716.6823
toyota,S1,11,2035,778461,-152750.2996
