company,destination,model,powertrain,scenario,cohort_year,units,lifetime_years,vkt_km,vkt_tier,real_world_factor,e_prod_year0_kgco2e,e_ref_year0_kgco2e,ti_per_vehicle_kgco2e,ti_tco2e
hyundai,AT,BAYON,HEV,S1,2024,60,15,12059.225,C,1.211,1767.0504,2344.0617,2794.6135,167.6768
hyundai,AT,BAYON,ICE,S1,2024,705,15,12059.225,C,1.191,1803.5469,2344.0617,2247.1651,1584.2514
hyundai,AT,G70 GENESIS G70,ICE,S1,2024,1,15,12059.225,C,1.191,3102.3081,2344.0617,-17234.2526,-17.2343
hyundai,AT,G90 GENESIS G90,HEV,S1,2024,2,15,12059.225,C,1.211,3753.1566,2344.0617,-26996.9795,-53.994
hyundai,AT,GV70 GENESIS GV70,BEV,S1,2024,1,15,12059.225,C,1.0,237.0988,2344.0617,26735.8333,26.7358
hyundai,AT,GV70 GENESIS GV70,ICE,S1,2024,1,15,12059.225,C,1.191,2815.0574,2344.0617,-12925.4913,-12.9255
hyundai,AT,I 30,HEV,S1,2024,324,15,12059.225,C,1.211,2053.8514,2344.0617,-1507.402,-488.3983
hyundai,AT,I 30,ICE,S1,2024,1631,15,12059.225,C,1.191,1940.0341,2344.0617,199.8572,325.9671
hyundai,AT,I 30 N,ICE,S1,2024,17,15,12059.225,C,1.191,2728.0376,2344.0617,-11620.1952,-197.5433
hyundai,AT,I10,ICE,S1,2024,1575,15,12059.225,C,1.191,1691.8064,2344.0617,3923.2733,6179.1554
hyundai,AT,I20,ICE,S1,2024,2058,15,12059.225,C,1.191,1748.0486,2344.0617,3079.6393,6337.8978
hyundai,AT,I20 N,ICE,S1,2024,42,15,12059.225,C,1.191,2269.2809,2344.0617,-4738.8449,-199.0315
hyundai,AT,IONIQ5,BEV,S1,2024,144,15,12059.225,C,1.0,218.8571,2344.0617,26933.142,3878.3724
hyundai,AT,IONIQ5 N,BEV,S1,2024,77,15,12059.225,C,1.0,264.5524,2344.0617,26438.8871,2035.7943
hyundai,AT,IONIQ6,BEV,S1,2024,51,15,12059.225,C,1.0,195.9674,2344.0617,27180.7236,1386.2169
hyundai,AT,KONA KAUAI,BEV,S1,2024,527,15,12059.225,C,1.0,185.7956,2344.0617,27290.7449,14382.2225
