company,market,scenario,cohort_year,status,covered_units,withheld_units,covered_share,ti_tco2e,ti_per_vehicle_kgco2e,direction,decomposition_identity_holds,home_market,exclusion_reason
hyundai,EU27,S1,2024,reported,409957,19979,0.95353,1656970.1006,4041.8144,liability,True,no,
hyundai,EU27,S2,2024,reported,409957,19979,0.95353,7999120.4771,19512.0963,liability,True,no,
hyundai,KR,S1,2024,reported,526677,29615,0.946764,-5019739.1812,-9530.9633,contribution,True,yes,
hyundai,KR,S2,2024,reported,526677,29615,0.946764,4240942.5935,8052.2647,liability,True,yes,
hyundai,KR,S1,2025,reported,545617,32477,0.943821,-4836312.4093,-8863.9328,contribution,True,yes,
hyundai,KR,S2,2025,reported,545617,32477,0.943821,4063807.9881,7448.0964,liability,True,yes,
hyundai,US,S1,2024,reported,828226,8576,0.989751,-1559081.0049,-1882.4343,contribution,True,no,
hyundai,US,S2,2024,reported,828226,8576,0.989751,8839090.1466,10672.3167,liability,True,no,
hyundai,US,S1,2025,reported,886894,14792,0.983595,-1504015.3825,-1695.8232,contribution,True,no,
hyundai,US,S2,2025,reported,886894,14792,0.983595,9627072.6373,10854.8176,liability,True,no,
kia,EU27,S1,2024,reported,379021,35656,0.914015,1520276.4969,4011.0614,liability,True,no,
kia,EU27,S2,2024,reported,379021,35656,0.914015,7372121.6593,19450.4306,liability,True,no,
kia,KR,S1,2026,reported,292702,3777,0.98726,-1855808.2164,-6340.2649,contribution,True,yes,
kia,KR,S2,2026,reported,292702,3777,0.98726,1645829.452,5622.8842,liability,True,yes,
kia,US,S1,2024,reported,780309,16179,0.979687,-1014668.5668,-1300.342,contribution,True,no,
kia,US,S2,2024,reported,780309,16179,0.979687,8774904.6667,11245.4229,liability,True,no,
kia,US,S1,2025,reported,836571,15584,0.981712,-719.3946,-0.8599,contribution,True,no,
kia,US,S2,2025,reported,836571,15584,0.981712,10519151.9652,12574.1294,liability,True,no,
kia,US,S1,2026,reported,422171,8556,0.980136,490360.5502,1161.5212,liability,True,no,
kia,US,S2,2026,reported,422171,8556,0.980136,5808097.3321,13757.689,liability,True,no,
nissan,EU27,S1,2024,reported,197588,460,0.997677,1442476.8525,7300.4274,liability,True,no,
nissan,EU27,S2,2024,reported,197588,460,0.997677,4433575.1399,22438.4838,liability,True,no,
nissan,JP,S1,2024,reported,214441,14346,0.937295,-349875.3194,-1631.5691,contribution,True,yes,
nissan,JP,S2,2024,reported,214441,14346,0.937295,474401.6553,2212.2712,liability,True,yes,
nissan,JP,S1,2025,reported,169528,9595,0.946433,-243866.1162,-1438.5005,contribution,True,yes,
nissan,JP,S2,2025,reported,169528,9595,0.946433,407772.4556,2405.3399,liability,True,yes,
nissan,US,S1,2024,reported,864996,942,0.998912,-2258871.2412,-2611.4239,contribution,True,no,
nissan,US,S2,2024,reported,864996,942,0.998912,8633249.9452,9980.6819,liability,True,no,
nissan,US,S1,2025,reported,873293,14,0.999984,-1363028.3216,-1560.7915,contribution,True,no,
nissan,US,S2,2025,reported,873293,14,0.999984,9646596.43,11046.2313,liability,True,no,
toyota,EU27,S1,2024,reported,777277,25817,0.967853,1681919.1765,2163.8607,liability,True,no,
toyota,EU27,S2,2024,reported,777277,25817,0.967853,14369773.622,18487.3264,liability,True,no,
toyota,JP,S1,2024,reported,1189107,8103,0.993232,-1070526.4374,-900.2776,contribution,True,yes,
toyota,JP,S2,2024,reported,1189107,8103,0.993232,3500211.0639,2943.5627,liability,True,yes,
toyota,JP,S1,2025,reported,1212140,0,1.0,-1129277.1373,-931.6392,contribution,True,yes,
toyota,JP,S2,2025,reported,1212140,0,1.0,3529995.5393,2912.2012,liability,True,yes,
toyota,US,S1,2024,reported,1942640,44314,0.977698,-5526361.5162,-2844.7687,contribution,True,no,
toyota,US,S2,2024,reported,1942640,44314,0.977698,18999378.3092,9780.1849,liability,True,no,
toyota,US,S1,2025,reported,2111810,36001,0.983238,-8070605.6113,-3821.6533,contribution,True,no,
toyota,US,S2,2025,reported,2111810,36001,0.983238,18596068.1463,8805.7487,liability,True,no,
