company,destination,scenario,units,ti_tco2e,ti_per_vehicle_kgco2e,direction
honda,AT,S1,1069,5543.1376,5185.3486,contribution
honda,AT,S2,1069,2148.5972,2009.9132,contribution
honda,AT,S3,1069,-9268.5334,-8670.2838,liability
honda,BE,S1,1675,-8453.0765,-5046.6128,liability
honda,BE,S2,1675,-12022.3884,-7177.5453,liability
honda,BE,S3,1675,-25870.0848,-15444.8267,liability
honda,BG,S1,170,1244.9149,7323.0288,contribution
honda,BG,S2,170,-1656.8543,-9746.2018,liability
honda,BG,S3,170,-3635.4061,-21384.7418,liability
honda,CY,S1,141,-375.4499,-2662.7652,liability
honda,CY,S2,141,-1381.7354,-9799.5418,liability
honda,CY,S3,141,-3313.1381,-23497.4333,liability
honda,CZ,S1,1327,115.9258,87.3593,contribution
honda,CZ,S2,1327,-9008.0574,-6788.2874,liability
honda,CZ,S3,1327,-21113.5644,-15910.7494,liability
honda,DE,S1,6788,-17052.0892,-2512.0933,liability
honda,DE,S2,6788,-35531.9536,-5234.5247,liability
honda,DE,S3,6788,-88704.0872,-13067.7795,liability
honda,DK,S1,759,8822.0805,11623.2945,contribution
honda,DK,S2,759,7338.2922,9668.3692,contribution
honda,DK,S3,759,1685.3263,2220.4563,contribution
honda,EE,S1,510,-760.3031,-1490.7904,liability
honda,EE,S2,510,-1998.6901,-3919.0002,liability
honda,EE,S3,510,-8151.7507,-15983.8249,liability
honda,ES,S1,3753,-14203.918,-3784.6837,liability
honda,ES,S2,3753,-35370.6183,-9424.6252,liability
honda,ES,S3,3753,-85979.5038,-22909.54,liability
honda,FI,S1,166,-4150.8989,-25005.4151,liability
honda,FI,S2,166,-2979.389,-17948.1265,liability
honda,FI,S3,166,-4714.5963,-28401.1825,liability
honda,FR,S1,4620,-6583.2593,-1424.9479,liability
honda,FR,S2,4620,-24425.5484,-5286.9152,liability
honda,FR,S3,4620,-65854.8042,-14254.2866,liability
honda,GR,S1,432,-5296.4534,-12260.3088,liability
honda,GR,S2,432,-6784.5968,-15705.0852,liability
honda,GR,S3,432,-9572.4421,-22158.4308,liability
honda,HR,S1,156,1688.9613,10826.675,contribution
honda,HR,S2,156,-587.842,-3768.2179,liability
honda,HR,S3,156,-3373.0816,-21622.3179,liability
honda,HU,S1,706,1809.7502,2563.3856,contribution
honda,HU,S2,706,-7653.1238,-10840.1187,liability
honda,HU,S3,706,-16776.878,-23763.2833,liability
honda,IE,S1,204,-1257.351,-6163.4853,liability
honda,IE,S2,204,-1783.8458,-8744.3422,liability
honda,IE,S3,204,-4372.5493,-21434.0652,liability
honda,IT,S1,7371,-59228.1629,-8035.2955,liability
honda,IT,S2,7371,-92220.6919,-12511.2864,liability
honda,IT,S3,7371,-159860.2645,-21687.7309,liability
honda,LT,S1,151,-2763.7297,-18302.8457,liability
honda,LT,S2,151,-3182.8326,-21078.3616,liability
honda,LT,S3,151,-5048.3946,-33433.0768,liability
honda,LU,S1,193,4545.9851,23554.3269,contribution
honda,LU,S2,193,4518.3177,23410.9725,contribution
honda,LU,S3,193,1461.5918,7573.0145,contribution
honda,LV,S1,126,-1854.648,-14719.4286,liability
honda,LV,S2,126,-2271.5822,-18028.4302,liability
honda,LV,S3,126,-4118.3803,-32685.5579,liability
honda,MT,S1,29,302.4538,10429.4414,contribution
honda,MT,S2,29,-1.7198,-59.3034,liability
honda,MT,S3,29,-195.2931,-6734.2448,liability
honda,NL,S1,966,-8024.4313,-8306.8647,liability
honda,NL,S2,966,-9379.7972,-9709.935,liability
honda,NL,S3,966,-16286.5337,-16859.7657,liability
honda,PL,S1,3882,-16859.9875,-4343.1189,liability
honda,PL,S2,3882,-85866.8784,-22119.2371,liability
honda,PL,S3,3882,-133124.6758,-34292.8067,liability
honda,PT,S1,666,-4556.3932,-6841.4312,liability
honda,PT,S2,666,-8250.7347,-12388.4905,liability
honda,PT,S3,666,-15761.923,-23666.5511,liability
honda,RO,S1,1069,-15980.3827,-14948.908,liability
honda,RO,S2,1069,-27619.3681,-25836.6399,liability
honda,RO,S3,1069,-39624.8135,-37067.1782,liability
honda,SE,S1,952,2565.6168,2694.9756,contribution
honda,SE,S2,952,1624.4143,1706.3175,contribution
honda,SE,S3,952,-7538.8812,-7918.9929,liability
honda,SI,S1,244,1808.9476,7413.7197,contribution
honda,SI,S2,244,-769.6885,-3154.4611,liability
honda,SI,S3,244,-4907.6448,-20113.2984,liability
honda,SK,S1,639,-5196.8717,-8132.8196,liability
honda,SK,S2,639,-8353.2709,-13072.4114,liability
honda,SK,S3,639,-14781.7853,-23132.6844,liability
hyundai,AT,S1,10912,30846.8257,2826.8719,contribution
hyundai,AT,S2,10912,-3192.9751,-292.6114,liability
hyundai,AT,S3,10912,-120664.8449,-11057.9953,liability
hyundai,BE,S1,10911,-42483.4556,-3893.6354,liability
hyundai,BE,S2,10911,-66182.7621,-6065.6917,liability
hyundai,BE,S3,10911,-155630.3221,-14263.6167,liability
hyundai,BG,S1,2176,20297.1697,9327.7434,contribution
hyundai,BG,S2,2176,-17467.5951,-8027.3875,liability
hyundai,BG,S3,2176,-41868.7746,-19241.1648,liability
hyundai,CY,S1,1277,-4432.0803,-3470.6972,liability
hyundai,CY,S2,1277,-13791.6176,-10800.0138,liability
hyundai,CY,S3,1277,-30494.1785,-23879.5446,liability
hyundai,CZ,S1,19978,7598.1728,380.327,contribution
hyundai,CZ,S2,19978,-130902.443,-6552.3297,liability
hyundai,CZ,S3,19978,-310690.5752,-15551.6356,liability
hyundai,DE,S1,91771,-277867.6768,-3027.8375,liability
hyundai,DE,S2,91771,-539349.7991,-5877.1268,liability
hyundai,DE,S3,91771,-1237440.6358,-13484.0051,liability
hyundai,DK,S1,4563,34465.3808,7553.2283,contribution
hyundai,DK,S2,4563,27663.7287,6062.6186,contribution
hyundai,DK,S3,4563,-8276.3837,-1813.8031,liability
hyundai,EE,S1,688,1148.6176,1669.5023,contribution
hyundai,EE,S2,688,-984.8454,-1431.4613,liability
hyundai,EE,S3,688,-8666.3533,-12596.4438,liability
hyundai,ES,S1,62225,-325357.7372,-5228.7302,liability
hyundai,ES,S2,62225,-677911.3172,-10894.5169,liability
hyundai,ES,S3,62225,-1515354.8835,-24352.8306,liability
hyundai,FI,S1,2735,-26192.6407,-9576.8339,liability
hyundai,FI,S2,2735,-8708.4417,-3184.0737,liability
hyundai,FI,S3,2735,-35680.0954,-13045.7387,liability
hyundai,FR,S1,47196,-52325.8843,-1108.6932,liability
hyundai,FR,S2,47196,-234780.6096,-4974.587,liability
hyundai,FR,S3,47196,-657608.801,-13933.5707,liability
hyundai,GR,S1,8787,-126189.7343,-14360.9576,liability
hyundai,GR,S2,8787,-154254.5303,-17554.8572,liability
hyundai,GR,S3,8787,-213402.7071,-24286.1849,liability
hyundai,HR,S1,3337,39659.268,11884.7072,contribution
hyundai,HR,S2,3337,-9324.4269,-2794.2544,liability
hyundai,HR,S3,3337,-68432.853,-20507.2979,liability
hyundai,HU,S1,4425,-1343.8383,-303.6923,liability
hyundai,HU,S2,4425,-60182.33,-13600.5266,liability
hyundai,HU,S3,4425,-117988.8816,-26664.154,liability
hyundai,IE,S1,9916,-56303.4886,-5678.0444,liability
hyundai,IE,S2,9916,-86133.1532,-8686.2801,liability
hyundai,IE,S3,9916,-205974.0088,-20771.8847,liability
hyundai,IT,S1,48786,-354662.2217,-7269.7541,liability
hyundai,IT,S2,48786,-574077.0963,-11767.2508,liability
hyundai,IT,S3,48786,-1019387.7338,-20895.0874,liability
hyundai,LT,S1,695,-9658.6328,-13897.3134,liability
hyundai,LT,S2,695,-11818.0896,-17004.4455,liability
hyundai,LT,S3,695,-20164.4359,-29013.5768,liability
hyundai,LU,S1,1268,37359.4172,29463.2628,contribution
hyundai,LU,S2,1268,36825.1521,29041.9181,contribution
hyundai,LU,S3,1268,17138.5835,13516.233,contribution
hyundai,LV,S1,647,-5585.5065,-8632.9312,liability
hyundai,LV,S2,647,-7924.8268,-12248.5731,liability
hyundai,LV,S3,647,-17155.8539,-26516.0029,liability
hyundai,MT,S1,738,5562.5163,7537.285,contribution
hyundai,MT,S2,738,-1661.472,-2251.3171,liability
hyundai,MT,S3,738,-8198.693,-11109.3401,liability
hyundai,NL,S1,18468,-76589.4936,-4147.1461,liability
hyundai,NL,S2,18468,-108876.608,-5895.4195,liability
hyundai,NL,S3,18468,-234584.1427,-12702.1953,liability
hyundai,PL,S1,30779,-171396.17,-5568.6075,liability
hyundai,PL,S2,30779,-722364.3626,-23469.3903,liability
hyundai,PL,S3,30779,-1089547.9317,-35399.0686,liability
hyundai,PT,S1,6931,-38997.5605,-5626.5417,liability
hyundai,PT,S2,6931,-78790.2384,-11367.8024,liability
hyundai,PT,S3,6931,-155857.5076,-22487.016,liability
hyundai,RO,S1,9686,-137078.0472,-14152.1833,liability
hyundai,RO,S2,9686,-245201.7027,-25315.0633,liability
hyundai,RO,S3,9686,-350023.6763,-36137.0717,liability
hyundai,SE,S1,1574,-3543.0965,-2251.0143,liability
hyundai,SE,S2,1574,-5053.7516,-3210.7698,liability
hyundai,SE,S3,1574,-20384.9505,-12951.0486,liability
hyundai,SI,S1,2657,22893.682,8616.3651,contribution
hyundai,SI,S2,2657,-5777.6773,-2174.5116,liability
hyundai,SI,S3,2657,-49849.5691,-18761.5992,liability
hyundai,SK,S1,8099,-61994.3526,-7654.5688,liability
hyundai,SK,S2,8099,-102169.0212,-12615.0168,liability
hyundai,SK,S3,8099,-183442.565,-22650.0265,liability
kia,AT,S1,6903,41638.4724,6031.9386,contribution
kia,AT,S2,6903,19369.5619,2805.9629,contribution
kia,AT,S3,6903,-53824.6696,-7797.2866,liability
kia,BE,S1,14290,-32752.5426,-2291.9904,liability
kia,BE,S2,14290,-65343.2137,-4572.6532,liability
kia,BE,S3,14290,-179874.097,-12587.4106,liability
kia,BG,S1,2652,17025.1406,6419.7363,contribution
kia,BG,S2,2652,-28524.5778,-10755.874,liability
kia,BG,S3,2652,-58970.8412,-22236.3655,liability
kia,CY,S1,2761,-13880.0362,-5027.1772,liability
kia,CY,S2,2761,-33431.2302,-12108.3775,liability
kia,CY,S3,2761,-71743.9097,-25984.7554,liability
kia,CZ,S1,10655,6543.2715,614.1034,contribution
kia,CZ,S2,10655,-67461.0958,-6331.4027,liability
kia,CZ,S3,10655,-163052.9397,-15302.9507,liability
kia,DE,S1,64203,-195981.7188,-3052.5321,liability
kia,DE,S2,64203,-380918.0156,-5933.0252,liability
