company,destination,model,powertrain,scenario,units,ti_per_vehicle_kgco2e,crossover_year,crossover_calendar_year,reason
honda,AT,CIVIC E:HEV 2.0 ADVA,HEV,S1,34,4282.9007,12.597,2036.6,within lifetime
honda,AT,CIVIC E:HEV 2.0 ELEG,HEV,S1,57,5626.9616,14.64,2038.6,within lifetime
honda,AT,CIVIC E:HEV 2.0 SPOR,HEV,S1,28,4539.2399,12.978,2037.0,within lifetime
honda,AT,CIVIC TYPE R 2.0 TYP,ICE,S1,12,-10824.9702,,,crossover before sale year (product already above benchmark at t=0)
honda,AT,CR-V E:HEV 2WD 2.0 E,HEV,S1,21,-105.2695,6.615,2030.6,within lifetime
honda,AT,CR-V E:HEV 4WD 2.0 A,HEV,S1,82,-3785.0789,2.252,2026.3,within lifetime
honda,AT,CR-V E:HEV 4WD 2.0 E,HEV,S1,45,-3777.0614,2.261,2026.3,within lifetime
honda,AT,E:NY1 EV ADVANCE,BEV,S1,109,26843.8138,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,AT,E:NY1 EV ELEGANCE,BEV,S1,18,26843.8138,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,AT,HONDA E EV ADVANCE,BEV,S1,1,26897.804,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,AT,HR-V E:HEV 1.5 ADVAN,HEV,S1,227,2575.5577,10.153,2034.2,within lifetime
honda,AT,HR-V E:HEV 1.5 ELEGA,HEV,S1,109,2575.5577,10.153,2034.2,within lifetime
honda,AT,JAZZ 1.5 ADVANCE,HEV,S1,46,6518.5626,16.061,2040.1,after lifetime
honda,AT,JAZZ 1.5 ADVANCE SPO,HEV,S1,22,6080.451,15.356,2039.4,after lifetime
honda,AT,JAZZ 1.5 ELEGANCE,HEV,S1,41,6951.3293,16.771,2040.8,after lifetime
honda,AT,JAZZ CROSSTAR 1.5 AD,HEV,S1,63,5628.4293,14.643,2038.6,within lifetime
honda,AT,UNASSIGNED,BEV,S1,4,26843.8138,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,AT,ZR-V 2.0 ADVANCE,HEV,S1,49,349.2276,7.192,2031.2,within lifetime
honda,AT,ZR-V 2.0 ELEGANCE,HEV,S1,17,797.3501,7.769,2031.8,within lifetime
honda,AT,ZR-V 2.0 SPORT,HEV,S1,84,588.4146,7.499,2031.5,within lifetime
honda,BE,CIVIC,HEV,S1,283,-4510.9797,0.139,2024.1,within lifetime
honda,BE,CIVIC TYPE R,ICE,S1,38,-21731.5078,,,crossover before sale year (product already above benchmark at t=0)
honda,BE,CR-V,HEV,S1,249,-11802.4019,,,crossover before sale year (product already above benchmark at t=0)
honda,BE,E:NY1,BEV,S1,139,19714.3976,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,BE,HR-V,HEV,S1,513,-6713.3253,,,crossover before sale year (product already above benchmark at t=0)
honda,BE,JAZZ,HEV,S1,220,-2680.0599,2.497,2026.5,within lifetime
honda,BE,ZR-V,HEV,S1,233,-9092.8155,,,crossover before sale year (product already above benchmark at t=0)
honda,BG,CIVIC,HEV,S1,28,12815.8389,,,"r_fleet <= 0: benchmark non-declining, no crossover"
honda,BG,CIVIC TYPE R,ICE,S1,4,-5641.0672,,,"r_fleet <= 0: benchmark non-declining, no crossover"
honda,BG,HONDA CR V,HEV,S1,8,7220.5309,,,"r_fleet <= 0: benchmark non-declining, no crossover"
honda,BG,HONDA CRV,HEV,S1,60,2896.3688,,,"r_fleet <= 0: benchmark non-declining, no crossover"
honda,BG,HONDA HRV,HEV,S1,20,10374.9348,,,"r_fleet <= 0: benchmark non-declining, no crossover"
honda,BG,HONDA ZRV,HEV,S1,38,7919.205,,,"r_fleet <= 0: benchmark non-declining, no crossover"
honda,BG,JAZZ,HEV,S1,12,14055.0728,,,"r_fleet <= 0: benchmark non-declining, no crossover"
honda,CY,CIVIC,HEV,S1,15,-684.2496,8.669,2032.7,within lifetime
honda,CY,CIVIC TYPE R,ICE,S1,1,-20534.9623,,,crossover before sale year (product already above benchmark at t=0)
honda,CY,CR-V,HEV,S1,26,-9728.894,,,crossover before sale year (product already above benchmark at t=0)
honda,CY,E:NY1,BEV,S1,5,15880.955,604.628,2628.6,after lifetime
honda,CY,HR-V,HEV,S1,81,-1849.6266,7.056,2031.1,within lifetime
honda,CY,JAZZ,HEV,S1,5,3179.8953,14.416,2038.4,within lifetime
honda,CY,ZR-V,HEV,S1,8,-4648.0648,3.379,2027.4,within lifetime
honda,CZ,CIVIC,HEV,S1,123,5166.9509,55.367,2079.4,after lifetime
honda,CZ,CIVIC TYPE R,ICE,S1,30,-9536.1481,,,crossover before sale year (product already above benchmark at t=0)
honda,CZ,CR-V,HEV,S1,604,-2734.9756,,,crossover before sale year (product already above benchmark at t=0)
honda,CZ,HR-V,HEV,S1,300,2999.1597,34.069,2058.1,after lifetime
honda,CZ,JAZZ,HEV,S1,44,6141.3521,65.605,2089.6,after lifetime
honda,CZ,ZR-V,HEV,S1,226,1099.2615,16.865,2040.9,after lifetime
honda,DE,,HEV,S1,3,-3568.7666,1.274,2025.3,within lifetime
honda,DE,CIVIC,HEV,S1,823,-1656.1859,4.109,2028.1,within lifetime
honda,DE,CIVIC,ICE,S1,1,-18409.3522,,,crossover before sale year (product already above benchmark at t=0)
honda,DE,CIVIC TYPE R,ICE,S1,123,-17380.9324,,,crossover before sale year (product already above benchmark at t=0)
honda,DE,E:NY1,BEV,S1,796,14253.3085,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,DE,HONDA CR-V,HEV,S1,1349,-9376.5929,,,crossover before sale year (product already above benchmark at t=0)
honda,DE,HONDA E,BEV,S1,4,14438.5129,,,never crosses: below benchmark at sale and the grid decarbonises at least as fast as the fleet benchmark
honda,DE,HR-V,HEV,S1,1661,-4006.2478,0.654,2024.7,within lifetime
honda,DE,JAZZ,HEV,S1,1173,-354.6136,6.17,2030.2,within lifetime
