company,market,cohort_year,analysis_level,layer1_method,sales_basis,test_cycles,covered_units,withheld_units,covered_share,vkt_tier_c_units,vkt_tier_c_share,directional_only,lifetime_t_central_years,scenarios_reported,scenarios_excluded,countries_covered,countries,countries_withheld,markets_covered,markets_vkt_tier_a,markets_vkt_tier_b,markets_vkt_tier_c,markets_fleet_tier_c,withheld_reasons,coverage_notes,cell_tier_a_units,cell_tier_b_units,cell_tier_c_units,cell_tier_c_share,warnings
hyundai,EU27,2024,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),registrations,WLTP,428490,1446,0.996637,204328,0.476856,False,18,S1;S2,,26,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LV;MT;NL;PL;PT;RO;SE;SI;SK,LU,26,12,2,12,12,"FCEV 22; PHEV 91; no_certified_value 1,333",,0,212940,215550,0.503046,FLEET_INTENSITY_IMPLAUSIBLE; VKT_PROXY
hyundai,KR,2024,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),domestic_sales,KR_5CYCLE,529428,26864,0.951709,0,0.0,False,11,S1;S2,,1,KR,,1,2,0,0,2,"no_certified_value 26,864",Korea domestic sales as published in the exporter's IR release,0,0,529428,1.0,FLEET_INTENSITY_TIER_C; MEAN_AGE_TIER_C; VKT_SERIES_BREAK_2021
hyundai,KR,2025,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),domestic_sales,KR_5CYCLE,551295,26799,0.953642,0,0.0,False,11,S1;S2,,1,KR,,1,2,0,0,2,"no_certified_value 26,799",Korea domestic sales as published in the exporter's IR release,0,0,551295,1.0,FLEET_INTENSITY_TIER_C; MEAN_AGE_TIER_C; VKT_SERIES_BREAK_2021
hyundai,US,2024,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),brand_total_sales,EPA,836753,49,0.999941,0,0.0,False,13,S1;S2,,1,US,,1,0,1,0,0,no_certified_value 49,brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total) | brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total); powertrain split with EPA Automotive Trends MY2024 production shares (A-US-PT),0,0,836753,1.0,LIFETIME_TIER_C; VKT_TIER_B
hyundai,US,2025,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),brand_total_sales,EPA,896481,5205,0.994227,0,0.0,False,13,S1;S2,,1,US,,1,0,1,0,0,"no_certified_value 5,205",brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total) | brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total); powertrain split with EPA Automotive Trends MY2024 production shares (A-US-PT),0,0,896481,1.0,LIFETIME_TIER_C; VKT_TIER_B
kia,EU27,2024,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),registrations,WLTP,413069,1608,0.996122,189656,0.459139,False,18,S1;S2,,26,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LV;MT;NL;PL;PT;RO;SE;SI;SK,LU,26,12,2,12,12,"PHEV 102; no_certified_value 1,506",,0,214430,198639,0.480886,FLEET_INTENSITY_IMPLAUSIBLE; VKT_PROXY
kia,KR,2024,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),retail_sales;retail_sales_estimated,KR_5CYCLE,534866,3919,0.992726,0,0.0,False,11,S1;S2,,1,KR,,1,2,0,0,2,"no_certified_value 3,919","estimated months: the exporter's investor-relations node for this year stopped before December and was never refreshed, so these units are the observed months grown by the ratio the same destination showed in the next year's workbook; partial year: the source covers 2024-11..2024-12 only, not the full cohort year | retail sales as published by the exporter's investor-relations release; partial year: the source covers 2024-01..2024-10 only, not the full cohort year",0,0,534866,1.0,FLEET_INTENSITY_TIER_C; MEAN_AGE_TIER_C; VKT_SERIES_BREAK_2021
kia,KR,2025,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),retail_sales,KR_5CYCLE,544364,3841,0.992993,0,0.0,False,11,S1;S2,,1,KR,,1,2,0,0,2,"no_certified_value 3,841",retail sales as published by the exporter's investor-relations release,0,0,544364,1.0,FLEET_INTENSITY_TIER_C; MEAN_AGE_TIER_C; VKT_SERIES_BREAK_2021
kia,KR,2026,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),retail_sales,KR_5CYCLE,349551,1613,0.995407,0,0.0,False,11,S1;S2,,1,KR,,1,2,0,0,2,"no_certified_value 1,613","retail sales as published by the exporter's investor-relations release; partial year: the source covers 2026-01..2026-07 only, not the full cohort year",0,0,349551,1.0,FLEET_INTENSITY_TIER_C; MEAN_AGE_TIER_C; VKT_SERIES_BREAK_2021
kia,US,2024,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),brand_total_sales,EPA,794571,1917,0.997593,0,0.0,False,13,S1;S2,,1,US,,1,0,1,0,0,"no_certified_value 1,917",brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total) | brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total); powertrain split with EPA Automotive Trends MY2024 production shares (A-US-PT),0,0,794571,1.0,LIFETIME_TIER_C; VKT_TIER_B
