company,powertrain,scenario,units,ti_tco2e,ti_per_vehicle_kgco2e,direction
hyundai,BEV,S1,41538,796564.1719,19176.758,contribution
hyundai,BEV,S2,41538,580125.8137,13966.147,contribution
hyundai,BEV,S3,41538,332204.8537,7997.6131,contribution
hyundai,HEV,S1,171154,-1079704.0324,-6308.3774,liability
hyundai,HEV,S2,171154,-2004440.9676,-11711.33,liability
hyundai,HEV,S3,171154,-3752457.7887,-21924.4528,liability
hyundai,ICE,S1,198533,-1204424.9236,-6066.6233,liability
hyundai,ICE,S2,198533,-2292918.6038,-11549.3072,liability
hyundai,ICE,S3,198533,-4354995.9909,-21935.8796,liability
toyota,BEV,S1,10874,219741.0264,20207.9296,contribution
toyota,BEV,S2,10874,172411.6553,15855.4033,contribution
toyota,BEV,S3,10874,97767.0532,8990.9006,contribution
toyota,HEV,S1,610871,-514633.4829,-842.4585,liability
toyota,HEV,S2,610871,-4077858.4542,-6675.4821,liability
toyota,HEV,S3,610871,-10409383.9729,-17040.2327,liability
toyota,ICE,S1,156716,-1106894.1214,-7063.0575,liability
toyota,ICE,S2,156716,-2059069.3002,-13138.8582,liability
toyota,ICE,S3,156716,-3636468.9311,-23204.197,liability
