company,market,scenario,dimension,variant,parameter,ti_tco2e
hyundai,EU27,S1,lifetime,central,T_c,-1656970.1
hyundai,EU27,S1,lifetime,minus,T_c - 3,-1170068.2
hyundai,EU27,S1,lifetime,plus,T_c + 3,-2224663.7
hyundai,EU27,S1,powertrain_mix,all_hev,mixed_central_ice cohort rows repriced with the hybrid of the same base model,-1656970.1
hyundai,EU27,S1,powertrain_mix,central,mixed_central_ice cohort rows priced as the rule states,-1656970.1
hyundai,EU27,S1,realworld,central,"WLTP BEV 1.0, WLTP HEV 1.211, WLTP ICE 1.191",-1656970.1
hyundai,EU27,S1,realworld,high,"WLTP BEV 1.0, WLTP HEV 1.211, WLTP ICE 1.211",-1772697.7
hyundai,EU27,S1,realworld,low,"WLTP BEV 1.0, WLTP HEV 1.171, WLTP ICE 1.171",-1346888.8
hyundai,EU27,S1,vkt_proxy,central,market distance as published for tier-C markets,-1656970.1
hyundai,EU27,S1,vkt_proxy,high,upper quartile of measured distances,-2393537.3
hyundai,EU27,S1,vkt_proxy,low,lower quartile of measured distances,-916156.2
hyundai,EU27,S2,lifetime,central,T_c,-3823874.7
hyundai,EU27,S2,lifetime,minus,T_c - 3,-2784773.3
hyundai,EU27,S2,lifetime,plus,T_c + 3,-4993067.4
hyundai,EU27,S2,powertrain_mix,all_hev,mixed_central_ice cohort rows repriced with the hybrid of the same base model,-3823874.7
hyundai,EU27,S2,powertrain_mix,central,mixed_central_ice cohort rows priced as the rule states,-3823874.7
hyundai,EU27,S2,realworld,central,"WLTP BEV 1.0, WLTP HEV 1.211, WLTP ICE 1.191",-3823874.7
hyundai,EU27,S2,realworld,high,"WLTP BEV 1.0, WLTP HEV 1.211, WLTP ICE 1.211",-3939602.3
hyundai,EU27,S2,realworld,low,"WLTP BEV 1.0, WLTP HEV 1.171, WLTP ICE 1.171",-3513793.3
hyundai,EU27,S2,vkt_proxy,central,market distance as published for tier-C markets,-3823874.7
hyundai,EU27,S2,vkt_proxy,high,upper quartile of measured distances,-4560441.9
hyundai,EU27,S2,vkt_proxy,low,lower quartile of measured distances,-3083060.7
hyundai,EU27,S3,lifetime,central,T_c,-7999120.5
hyundai,EU27,S3,lifetime,minus,T_c - 3,-6130005.1
hyundai,EU27,S3,lifetime,plus,T_c + 3,-9945474.2
hyundai,EU27,S3,powertrain_mix,all_hev,mixed_central_ice cohort rows repriced with the hybrid of the same base model,-7999120.5
hyundai,EU27,S3,powertrain_mix,central,mixed_central_ice cohort rows priced as the rule states,-7999120.5
hyundai,EU27,S3,realworld,central,"WLTP BEV 1.0, WLTP HEV 1.211, WLTP ICE 1.191",-7999120.5
hyundai,EU27,S3,realworld,high,"WLTP BEV 1.0, WLTP HEV 1.211, WLTP ICE 1.211",-8114848.1
hyundai,EU27,S3,realworld,low,"WLTP BEV 1.0, WLTP HEV 1.171, WLTP ICE 1.171",-7689039.2
hyundai,EU27,S3,vkt_proxy,central,market distance as published for tier-C markets,-7999120.5
hyundai,EU27,S3,vkt_proxy,high,upper quartile of measured distances,-8734869.5
hyundai,EU27,S3,vkt_proxy,low,lower quartile of measured distances,-7259129.5
hyundai,US,S1,lifetime,central,T_c,1527077.3
hyundai,US,S1,lifetime,minus,T_c - 3,1368520.2
hyundai,US,S1,lifetime,plus,T_c + 3,1574518.3
hyundai,US,S1,powertrain_mix,all_hev,mixed_central_ice cohort rows repriced with the hybrid of the same base model,3762424.0
hyundai,US,S1,powertrain_mix,central,mixed_central_ice cohort rows priced as the rule states,1527077.3
hyundai,US,S1,realworld,central,"EPA BEV 1.0, EPA HEV 1.0, EPA ICE 1.0",1527077.3
hyundai,US,S1,realworld,high,"EPA BEV 1.0, EPA HEV 1.0, EPA ICE 1.0",1527077.3
hyundai,US,S1,realworld,low,"EPA BEV 1.0, EPA HEV 1.0, EPA ICE 1.0",1527077.3
hyundai,US,S1,vkt_proxy,central,market distance as published for tier-C markets,1527077.3
hyundai,US,S1,vkt_proxy,high,upper quartile of measured distances,1527077.3
hyundai,US,S1,vkt_proxy,low,lower quartile of measured distances,1527077.3
hyundai,US,S3,lifetime,central,T_c,-4801585.7
hyundai,US,S3,lifetime,minus,T_c - 3,-2639009.6
hyundai,US,S3,lifetime,plus,T_c + 3,-7322309.2
