company,scenario,dimension,variant,parameter,ti_tco2e
hyundai,S1,lifetime,central,T_c,-1619610.7
hyundai,S1,lifetime,minus,T_c - 3,-1139449.9
hyundai,S1,lifetime,plus,T_c + 3,-2181951.7
hyundai,S1,realworld,central,"BEV 1.0, HEV 1.211, ICE 1.191",-1619610.7
hyundai,S1,realworld,high,"BEV 1.0, HEV 1.211, ICE 1.211",-1735491.9
hyundai,S1,realworld,low,"BEV 1.0, HEV 1.171, ICE 1.171",-1309078.1
hyundai,S1,vkt_proxy,central,EU stock-weighted mean for tier-C markets,-1619610.7
hyundai,S1,vkt_proxy,high,upper quartile of measured distances,-2358098.1
hyundai,S1,vkt_proxy,low,lower quartile of measured distances,-876865.5
hyundai,S2,lifetime,central,T_c,-3786557.8
hyundai,S2,lifetime,minus,T_c - 3,-2754180.3
hyundai,S2,lifetime,plus,T_c + 3,-4950417.6
hyundai,S2,realworld,central,"BEV 1.0, HEV 1.211, ICE 1.191",-3786557.8
hyundai,S2,realworld,high,"BEV 1.0, HEV 1.211, ICE 1.211",-3902439.1
hyundai,S2,realworld,low,"BEV 1.0, HEV 1.171, ICE 1.171",-3476025.2
hyundai,S2,vkt_proxy,central,EU stock-weighted mean for tier-C markets,-3786557.8
hyundai,S2,vkt_proxy,high,upper quartile of measured distances,-4525045.2
hyundai,S2,vkt_proxy,low,lower quartile of measured distances,-3043812.6
hyundai,S3,lifetime,central,T_c,-7981981.9
hyundai,S3,lifetime,minus,T_c - 3,-6112374.7
hyundai,S3,lifetime,plus,T_c + 3,-9930275.1
hyundai,S3,realworld,central,"BEV 1.0, HEV 1.211, ICE 1.191",-7981981.9
hyundai,S3,realworld,high,"BEV 1.0, HEV 1.211, ICE 1.211",-8097863.2
hyundai,S3,realworld,low,"BEV 1.0, HEV 1.171, ICE 1.171",-7671449.3
hyundai,S3,vkt_proxy,central,EU stock-weighted mean for tier-C markets,-7981981.9
hyundai,S3,vkt_proxy,high,upper quartile of measured distances,-8719645.0
hyundai,S3,vkt_proxy,low,lower quartile of measured distances,-7240065.7
kia,S1,lifetime,central,T_c,-1481261.0
kia,S1,lifetime,minus,T_c - 3,-1046041.3
kia,S1,lifetime,plus,T_c + 3,-1992634.0
kia,S1,realworld,central,"BEV 1.0, HEV 1.211, ICE 1.191",-1481261.0
kia,S1,realworld,high,"BEV 1.0, HEV 1.211, ICE 1.211",-1595637.0
kia,S1,realworld,low,"BEV 1.0, HEV 1.171, ICE 1.171",-1203000.4
kia,S1,vkt_proxy,central,EU stock-weighted mean for tier-C markets,-1481261.0
kia,S1,vkt_proxy,high,upper quartile of measured distances,-2173322.5
kia,S1,vkt_proxy,low,lower quartile of measured distances,-785209.3
kia,S2,lifetime,central,T_c,-3451417.6
kia,S2,lifetime,minus,T_c - 3,-2519537.6
kia,S2,lifetime,plus,T_c + 3,-4503330.2
kia,S2,realworld,central,"BEV 1.0, HEV 1.211, ICE 1.191",-3451417.6
kia,S2,realworld,high,"BEV 1.0, HEV 1.211, ICE 1.211",-3565793.6
kia,S2,realworld,low,"BEV 1.0, HEV 1.171, ICE 1.171",-3173157.1
kia,S2,vkt_proxy,central,EU stock-weighted mean for tier-C markets,-3451417.6
kia,S2,vkt_proxy,high,upper quartile of measured distances,-4143479.2
kia,S2,vkt_proxy,low,lower quartile of measured distances,-2755365.9
kia,S3,lifetime,central,T_c,-7356138.0
kia,S3,lifetime,minus,T_c - 3,-5653530.5
kia,S3,lifetime,plus,T_c + 3,-9129416.9
kia,S3,realworld,central,"BEV 1.0, HEV 1.211, ICE 1.191",-7356138.0
kia,S3,realworld,high,"BEV 1.0, HEV 1.211, ICE 1.211",-7470514.1
kia,S3,realworld,low,"BEV 1.0, HEV 1.171, ICE 1.171",-7077877.5
kia,S3,vkt_proxy,central,EU stock-weighted mean for tier-C markets,-7356138.0
kia,S3,vkt_proxy,high,upper quartile of measured distances,-8047147.4
kia,S3,vkt_proxy,low,lower quartile of measured distances,-6661144.6
