company,destination,cohort_year,source_id,source_file,basis,basis_side,units,in_scope,boundary_companies,used_by_cohort,spread_vs_used_pct
genesis,KR,2024,hyundai_ir_sales_results,sales_hyundai_kr.csv,domestic_sales,market,130674,no,,yes,
genesis,KR,2025,hyundai_ir_sales_results,sales_hyundai_kr.csv,domestic_sales,market,118395,no,,yes,
genesis,US,2024,company_us_totals_cross_check,company_us_totals_cross_check.csv,brand_total_sales,market,75003,no,genesis,no,0.0
genesis,US,2024,hyundai_ir_sales_results,sales_hyundai_us.csv,brand_total_sales,market,75003,no,genesis,yes,
genesis,US,2025,hyundai_ir_sales_results,sales_hyundai_us.csv,brand_total_sales,market,82331,no,,yes,
hyundai,AT,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,11364,yes,,yes,
hyundai,BE,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,12149,yes,,yes,
hyundai,BG,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,2336,yes,,yes,
hyundai,BR,2025,hyundai_ir_sales_results,sales_hyundai_plant_2025.csv,plant_sales,plant,198113,yes,,no,
hyundai,CN,2025,hyundai_ir_sales_results,sales_hyundai_plant_2025.csv,plant_sales,plant,128399,yes,,no,
hyundai,CY,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,1340,yes,,yes,
hyundai,CZ,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,20260,yes,,yes,
hyundai,DE,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,96193,yes,,yes,
hyundai,DK,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,4815,yes,,yes,
hyundai,EE,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,714,yes,,yes,
hyundai,ES,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,64844,yes,,yes,
hyundai,FI,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,3101,yes,,yes,
hyundai,FR,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,49653,yes,,yes,
hyundai,GR,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,8879,yes,,yes,
hyundai,HR,2024,eea_co2_monitoring_2024,sales_eea_eu27_2024.csv,registrations,market,3381,yes,,yes,
