company,destination,model,powertrain,units,reason
hyundai,DE,,BEV,8,the registration dataset reports no certified intensity for this cell
hyundai,DE,AX1,BEV,8,the registration dataset reports no certified intensity for this cell
hyundai,DE,CE,BEV,2,the registration dataset reports no certified intensity for this cell
hyundai,DE,CE EV,BEV,1,the registration dataset reports no certified intensity for this cell
hyundai,DE,CE N,BEV,6,the registration dataset reports no certified intensity for this cell
hyundai,DE,CE PE,BEV,1,the registration dataset reports no certified intensity for this cell
hyundai,DE,CV E GT,BEV,1,the registration dataset reports no certified intensity for this cell
hyundai,DE,IONIQ9,BEV,1,the registration dataset reports no certified intensity for this cell
hyundai,DE,JW,BEV,1,the registration dataset reports no certified intensity for this cell
hyundai,DE,JW1 EV,BEV,1,the registration dataset reports no certified intensity for this cell
hyundai,DE,ME,BEV,4,the registration dataset reports no certified intensity for this cell
hyundai,DE,NE PE,BEV,5,the registration dataset reports no certified intensity for this cell
hyundai,DE,NE-N,BEV,2,the registration dataset reports no certified intensity for this cell
hyundai,DE,SX2,BEV,1,the registration dataset reports no certified intensity for this cell
hyundai,DE,SX2 E,BEV,2,the registration dataset reports no certified intensity for this cell
hyundai,LU,GV60 GENESIS GV60,BEV,1,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,LU,IONIQ5,BEV,168,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,LU,IONIQ5 N,BEV,18,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,LU,IONIQ6,BEV,76,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,LU,KONA KAUAI,BEV,231,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
hyundai,BE,NEXO,FCEV,2,no sourced hydrogen supply emissions intensity for the destination
hyundai,DE,NEXO,FCEV,8,no sourced hydrogen supply emissions intensity for the destination
hyundai,DE,NH2,FCEV,2,no sourced hydrogen supply emissions intensity for the destination
hyundai,ES,NEXO,FCEV,7,no sourced hydrogen supply emissions intensity for the destination
hyundai,FR,NEXO,FCEV,1,no sourced hydrogen supply emissions intensity for the destination
hyundai,SE,NEXO,FCEV,2,no sourced hydrogen supply emissions intensity for the destination
hyundai,DE,PALISADE,HEV,2,the registration dataset reports no certified intensity for this cell
hyundai,LU,BAYON,HEV,11,"destination benchmark withheld: the national car CO2 inventory and the registered stock cover different driving populations (FLEET_INTENSITY_IMPLAUSIBLE), so no defensible benchmark exists; market reported separately"
