table,column,position,type,role,blanks,blank_share,distinct,min,max,example,references
cohorts,market,1,TEXT,key,0,0.0,4,,,EU27,
cohorts,company,2,TEXT,key,0,0.0,4,,,hyundai,
cohorts,destination,3,TEXT,key,0,0.0,30,,,AT,
cohorts,segment,4,TEXT,key,0,0.0,3,,,passenger_car,
cohorts,cohort_year,5,INTEGER,key,0,0.0,3,2024,2026,2024,
cohorts,period,6,TEXT,dimension,0,0.0,5,,,2024-01..2024-12,
cohorts,model,7,TEXT,key,1,0.0004,267,,,BAYON,
cohorts,powertrain,8,TEXT,key,0,0.0,5,,,HEV,
cohorts,units,9,INTEGER,measure,0,0.0,1248,1,316115,60,
cohorts,basis,10,TEXT,dimension,0,0.0,5,,,registrations,
cohorts,tailpipe_gco2_km,11,REAL,measure,70,0.0281,1586,0.0,402.0,121.0,
cohorts,energy_wh_km,12,REAL,measure,1791,0.7193,542,100.0,447.39,190.0,
cohorts,test_cycle,13,TEXT,dimension,0,0.0,4,,,WLTP,
cohorts,technology_source,14,TEXT,dimension,0,0.0,248,,,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),
cohorts,sales_source_file,15,TEXT,dimension,0,0.0,17,,,eea_hyundai_2024_final.json,
cohorts,powertrain_rule,16,TEXT,dimension,0,0.0,31,,,explicit,
cohorts,coverage_note,17,TEXT,dimension,2142,0.8602,8,,,retail sales as published by the exporter's investor-relations release,
cohorts,variant,18,TEXT,dimension,0,0.0,2,,,central,
cohorts,tier,19,TEXT,provenance,0,0.0,3,,,A,
cohorts,tier_reason,20,TEXT,provenance,0,0.0,7,,,A: certified value from the destination's own type-approval or label authority; ,
cohorts_withheld,market,1,TEXT,key,0,0.0,4,,,EU27,
cohorts_withheld,company,2,TEXT,key,0,0.0,4,,,hyundai,
cohorts_withheld,destination,3,TEXT,key,0,0.0,14,,,BE,
cohorts_withheld,segment,4,TEXT,key,0,0.0,4,,,passenger_car,
cohorts_withheld,cohort_year,5,INTEGER,key,0,0.0,3,2024,2026,2024,
cohorts_withheld,model,6,TEXT,key,3,0.0294,72,,,NEXO,
cohorts_withheld,powertrain,7,TEXT,key,16,0.1569,5,,,FCEV,
cohorts_withheld,units,8,INTEGER,measure,0,0.0,36,1,26864,2,
cohorts_withheld,reason,9,TEXT,dimension,0,0.0,17,,,the EEA monitoring dataset records a fuel-cell car's tailpipe as zero and publis,
cohorts_withheld,coverage_note,10,TEXT,dimension,78,0.7647,6,,,Korea domestic sales as published in the exporter's IR release,
companies,company,1,TEXT,key,0,0.0,11,,,hyundai,
companies,country,2,TEXT,key,0,0.0,2,,,KR,
companies,in_scope,3,TEXT,dimension,0,0.0,2,,,yes,
companies,note,4,TEXT,provenance,0,0.0,11,,,Hyundai Motor Company brand (EEA Mk=HYUNDAI),
company_us_totals_cross_check,company,1,TEXT,key,0,0.0,5,,,toyota,
company_us_totals_cross_check,destination,2,TEXT,key,0,0.0,1,,,US,
company_us_totals_cross_check,cohort_year,3,INTEGER,key,0,0.0,2,2024,2025,2025,
company_us_totals_cross_check,units,4,INTEGER,measure,0,0.0,5,75003,2518071,2518071,
company_us_totals_cross_check,basis,5,TEXT,dimension,0,0.0,1,,,brand_total_sales,
company_us_totals_cross_check,boundary_companies,6,TEXT,dimension,0,0.0,5,,,toyota;lexus,
company_us_totals_cross_check,publisher,7,TEXT,dimension,0,0.0,5,,,Toyota Motor Corporation,
company_us_totals_cross_check,title,8,TEXT,dimension,0,0.0,5,,,"Sales, Production and Export Results for 2025, detailed data workbook, sheet Sal",
company_us_totals_cross_check,url,9,TEXT,provenance,0,0.0,5,,,https://global.toyota/en/company/profile/production-sales-figures/202512.html,
company_us_totals_cross_check,note,10,TEXT,provenance,0,0.0,5,,,the group workbook's US row; equals the sum of the Toyota and Lexus divisions in,
country_codes,iso_numeric,1,INTEGER,measure,0,0.0,249,4,894,20,
country_codes,alpha2,2,TEXT,dimension,0,0.0,249,,,AD,
country_codes,alpha3,3,TEXT,dimension,0,0.0,249,,,AND,
country_codes,name,4,TEXT,dimension,0,0.0,249,,,Andorra,
country_emissions_au,country,1,TEXT,key,0,0.0,1,,,AU,
country_emissions_au,series,2,TEXT,key,0,0.0,4,,,car_co2,
country_emissions_au,year,3,INTEGER,key,0,0.0,35,1990,2024,1990,
country_emissions_au,value,4,REAL,measure,0,0.0,140,33325.722,210253.993,33817.48,
country_emissions_au,unit,5,TEXT,dimension,0,0.0,2,,,ktCO2,
country_emissions_au,source_id,6,TEXT,provenance,0,0.0,1,,,anga_odata_paris_inventory,
country_emissions_au,source_file,7,TEXT,provenance,0,0.0,1,,,anga_paris_inventory_australia.json,
country_emissions_au,tier,8,TEXT,provenance,0,0.0,1,,,A,
country_emissions_au,tier_reason,9,TEXT,provenance,0,0.0,1,,,A: Australian National Greenhouse Accounts (ANGA) OData as published,
country_emissions_eu27,country,1,TEXT,key,0,0.0,28,,,AT,
country_emissions_eu27,series,2,TEXT,key,0,0.0,4,,,car_co2,
country_emissions_eu27,year,3,INTEGER,key,0,0.0,36,1990,2025,2015,
country_emissions_eu27,value,4,REAL,measure,0,0.0,1304,33.29,1226218.22,13374.28,
country_emissions_eu27,unit,5,TEXT,dimension,0,0.0,3,,,ktCO2,
country_emissions_eu27,source_id,6,TEXT,provenance,0,0.0,4,,,eurostat_env_air_gge_crf1a3b1,
country_emissions_eu27,source_file,7,TEXT,provenance,0,0.0,4,,,eurostat_env_air_gge_car_co2.json,
country_emissions_eu27,tier,8,TEXT,provenance,0,0.0,1,,,A,
country_emissions_eu27,tier_reason,9,TEXT,provenance,0,0.0,2,,,A: Eurostat env_air_gge CRF 1.A.3.b.i passenger cars per member state (national ,
country_emissions_jp,country,1,TEXT,key,0,0.0,1,,,JP,
country_emissions_jp,series,2,TEXT,key,0,0.0,4,,,co2_bus,
