from_table,from_columns,to_table,to_columns,kind
sources,provider_id,data_providers,provider_id,lookup
data_providers,licence_id,licences,licence_id,lookup
raw_files,source_id,sources,source_id,lookup
redistribution,source_id,sources,source_id,lookup
redistribution,provider_id,data_providers,provider_id,lookup
redistribution,licence_id,licences,licence_id,lookup
value_tiers,tier,tiers,tier,lookup
sales_eea_eu27_2024,source_file,raw_files,file,provenance
sales_hyundai_kr,source_file,raw_files,file,provenance
sales_hyundai_plant_2025,source_file,raw_files,file,provenance
sales_hyundai_us,source_file,raw_files,file,provenance
sales_jada_jp,source_file,raw_files,file,provenance
sales_kia_ir_2024,source_file,raw_files,file,provenance
sales_kia_ir_2025,source_file,raw_files,file,provenance
sales_kia_ir_2026,source_file,raw_files,file,provenance
sales_kia_us,source_file,raw_files,file,provenance
sales_nissan_us,source_file,raw_files,file,provenance
sales_toyota_us,source_file,raw_files,file,provenance
vehicle_technology_eea_2024,source_id,sources,source_id,provenance
vehicle_technology_jp_mlit,source_id,sources,source_id,provenance
vehicle_technology_kr_kea,source_id,sources,source_id,provenance
vehicle_technology_us_epa,source_id,sources,source_id,provenance
country_emissions_au,source_id,sources,source_id,provenance
country_emissions_eu27,source_id,sources,source_id,provenance
country_emissions_jp,source_id,sources,source_id,provenance
country_emissions_kr,source_id,sources,source_id,provenance
country_emissions_owid_grid,source_id,sources,source_id,provenance
country_emissions_us,source_id,sources,source_id,provenance
vehicle_usage_au,source_id,sources,source_id,provenance
vehicle_usage_au_smvu,source_id,sources,source_id,provenance
vehicle_usage_eu27,source_id,sources,source_id,provenance
vehicle_usage_jp,source_id,sources,source_id,provenance
vehicle_usage_jp_lifetime,source_id,sources,source_id,provenance
vehicle_usage_kr,source_id,sources,source_id,provenance
vehicle_usage_kr_traffic,source_id,sources,source_id,provenance
vehicle_usage_us,source_id,sources,source_id,provenance
vehicle_usage_us_lifetime,source_id,sources,source_id,provenance
emission_targets_au,source_id,sources,source_id,provenance
emission_targets_eu27,source_id,sources,source_id,provenance
emission_targets_jp,source_id,sources,source_id,provenance
emission_targets_kr,source_id,sources,source_id,provenance
emission_targets_us,source_id,sources,source_id,provenance
cohorts,sales_source_file,raw_files,file,provenance
cohorts,market;destination;segment;cohort_year,destination_parameters_eu27,market;country;segment;cohort_year,join
cohorts,market;destination;segment;cohort_year,destination_parameters_jp,market;country;segment;cohort_year,join
cohorts,market;destination;segment;cohort_year,destination_parameters_kr,market;country;segment;cohort_year,join
cohorts,market;destination;segment;cohort_year,destination_parameters_us,market;country;segment;cohort_year,join
cohorts,company,companies,company,lookup
destination_parameters_eu27,country;segment,country_emissions_eu27,country;series,derived_from
destination_parameters_jp,country;segment,country_emissions_jp,country;series,derived_from
destination_parameters_kr,country;segment,country_emissions_kr,country;series,derived_from
destination_parameters_us,country;segment,country_emissions_us,country;series,derived_from
destination_parameters_eu27,country;segment,vehicle_usage_eu27,country;series,derived_from
destination_parameters_jp,country;segment,vehicle_usage_jp,country;series,derived_from
destination_parameters_kr,country;segment,vehicle_usage_kr,country;series,derived_from
destination_parameters_us,country;segment,vehicle_usage_us,country;series,derived_from
reference_trajectories_eu27,country;scenario,emission_targets_eu27,country;scenario,join
reference_trajectories_jp,country;scenario,emission_targets_jp,country;scenario,join
reference_trajectories_kr,country;scenario,emission_targets_kr,country;scenario,join
reference_trajectories_us,country;scenario,emission_targets_us,country;scenario,join
reference_trajectories_eu27,market;country;segment;cohort_year,destination_parameters_eu27,market;country;segment;cohort_year,join
reference_trajectories_jp,market;country;segment;cohort_year,destination_parameters_jp,market;country;segment;cohort_year,join
reference_trajectories_kr,market;country;segment;cohort_year,destination_parameters_kr,market;country;segment;cohort_year,join
reference_trajectories_us,market;country;segment;cohort_year,destination_parameters_us,market;country;segment;cohort_year,join
ti_by_model,market;company;destination;segment;model;powertrain;cohort_year,cohorts,market;company;destination;segment;model;powertrain;cohort_year,join
ti_by_model,market;destination;segment;cohort_year;scenario,reference_trajectories_eu27,market;country;segment;cohort_year;scenario,join
ti_by_model,market;destination;segment;cohort_year;scenario,reference_trajectories_jp,market;country;segment;cohort_year;scenario,join
ti_by_model,market;destination;segment;cohort_year;scenario,reference_trajectories_kr,market;country;segment;cohort_year;scenario,join
ti_by_model,market;destination;segment;cohort_year;scenario,reference_trajectories_us,market;country;segment;cohort_year;scenario,join
ti_annual_by_model,market;company;destination;model;powertrain;cohort_year;scenario,ti_by_model,market;company;destination;model;powertrain;cohort_year;scenario,join
ti_company,market;company;cohort_year;scenario,ti_by_model,market;company;cohort_year;scenario,aggregates
ti_country,market;destination;cohort_year;scenario,ti_by_model,market;destination;cohort_year;scenario,aggregates
ti_powertrain,market;powertrain;cohort_year;scenario,ti_by_model,market;powertrain;cohort_year;scenario,aggregates
ti_annual,market;company;cohort_year;scenario,ti_annual_by_model,market;company;cohort_year;scenario,aggregates
ti_crossover,market;company;destination;model;powertrain;scenario,ti_by_model,market;company;destination;model;powertrain;scenario,join
ti_sensitivity,market;company;cohort_year;scenario,ti_company,market;company;cohort_year;scenario,join
ti_withheld,market;company;destination;cohort_year,cohorts_withheld,market;company;destination;cohort_year,join
ti_coverage,company;destination;cohort_year,ti_by_model,company;destination;cohort_year,aggregates
ti_global_coverage,company;cohort_year,global_sales_totals,company;cohort_year,join
ti_data_quality,company;market;cohort_year,ti_by_model,company;market;cohort_year,aggregates
ti_source_reconciliation,source_file,raw_files,file,provenance
target_set,company;market;cohort_year,ti_company,company;market;cohort_year,join
data_readiness,country;cohort_year,destination_parameters_eu27,country;cohort_year,describes
data_readiness,country;cohort_year,destination_parameters_jp,country;cohort_year,describes
data_readiness,country;cohort_year,destination_parameters_kr,country;cohort_year,describes
data_readiness,country;cohort_year,destination_parameters_us,country;cohort_year,describes
data_readiness,source_id,sources,source_id,lookup
