table_pattern,column,value_pattern,tier,reason
country_emissions_eu27,series,car_co2,A,Eurostat env_air_gge CRF 1.A.3.b.i passenger cars per member state (national inventories as submitted)
country_emissions_eu27,series,power_co2|transport_ghg|grid_intensity,A,Eurostat env_air_gge national inventory series
country_emissions_us,series,car_co2|ldt_co2|ldv_co2|car_ghg_co2e|ldt_ghg_co2e|ldv_ghg_co2e,A,EPA Inventory of US GHG Emissions and Sinks tables transcribed with page references
country_emissions_au,series,car_co2|car_ghg_co2e|power_co2|transport_ghg,A,Australian National Greenhouse Accounts (ANGA) OData as published
country_emissions_kr,series,road_co2,A,GIR national inventory IPCC 1.A.3.b road transport as published
country_emissions_kr,series,kotsa_ghg_.*|share_road_.*,C,KOTSA bottom-up local inventory whose national level sits 13-26 % below the GIR road total; only its passenger-car share is used
country_emissions_kr,series,co2_.*,C,GIR road CO2 multiplied by the KOTSA passenger-car share; the national inventory has no car split
country_emissions_owid_grid,series,grid_intensity,A,Ember yearly electricity data (via Our World in Data) generation-based CO2 intensity as published
vehicle_usage_eu27,series,car_stock|car_stock_age_.*,A,Eurostat road_eqs_carpda and road_eqs_carage registrations per member state
vehicle_usage_eu27,series,car_traffic,A,Eurostat road_tf_vehmov passenger-car vehicle-kilometres reported by the member state
vehicle_usage_eu27,series,car_traffic_fallback,C,EU-average distance applied to member states that report no vehicle-kilometres (proxied distance)
vehicle_usage_us,series,car_stock|car_traffic|ldv_long_wb_stock|ldv_long_wb_traffic,B,FHWA VM-1 partitions light-duty vehicles by wheelbase not body type; stock and distance are consistent with each other but not the passenger-car registration class
vehicle_usage_us_lifetime,series,car_expected_lifetime_years|car_median_lifetime_years|car_lifetime_distance_km,C,NHTSA survival schedule fitted to 1977-2002 passenger-car registrations not to the current fleet
vehicle_usage_au,series,car_stock.*|car_mean_age_years,A,ABS Motor Vehicle Census as published
vehicle_usage_au_smvu,series,car_stock_smvu|car_traffic|car_vkt_avg,B,ABS Survey of Motor Vehicle Use: sample survey estimates rather than registration or odometer counts
vehicle_usage_kr,series,stock_.*,A,MOLIT vehicle registration statistics (승용 class) as published
vehicle_usage_kr,series,mean_age_.*,C,mean of a model-year distribution whose oldest band is open-ended (2005 and earlier) so the mean is biased low
