source_label,model_en,note
86,86,Toyota 86 / GR 86 coupe
GR86,GR86,
GRカローラ,GR Corolla,
GRヤリス,GR Yaris,
GT-R,GT-R,
NV200,NV200,Nissan NV200 van
NV200バネット,NV200 Vanette,
RAV4,RAV4,written in full-width characters in the JADA ranking and in Latin script by MLIT
アクア,Aqua,
アルファード,Alphard,
エクストレイル,X-Trail,
エルグランド,Elgrand,
カローラ,Corolla,
カローラアクシオ,Corolla Axio,
カローラクロス,Corolla Cross,
カローラスポーツ,Corolla Sport,
カローラツーリング,Corolla Touring,
カローラフィールダー,Corolla Fielder,
キックス,Kicks,
キャラバン,Caravan,
クラウン,Crown,
グランエース,Granace,
シエンタ,Sienta,
スカイライン,Skyline,
セレナ,Serena,
センチュリー,Century,
ノア,Noah,
ノート,Note,
ノートオーラ,Note Aura,
ハイエース,HiAce,
ハイエースワゴン,HiAce Wagon,the passenger variant the JADA ranking counts
ハリアー,Harrier,
バネット,Vanette,
フェアレディZ,Fairlady Z,
プリウス,Prius,
ヤリス,Yaris,
ヤリスクロス,Yaris Cross,
ライズ,Raize,built by Daihatsu and sold as a Toyota
ランドクルーザー,Land Cruiser,
ルーミー,Roomy,built by Daihatsu and sold as a Toyota
ヴェルファイア,Vellfire,
ヴォクシー,Voxy,
JPNTAXI,JPN Taxi,
