company,cohort_year,units,units_imported,imported_share,months,source_id,source_file
daihatsu,2024,235226,9,3.8e-05,12,jada_registration_statistics,jada_brand_registrations_2024.xls
honda,2024,637742,45107,0.070729,12,jada_registration_statistics,jada_brand_registrations_2024.xls
isuzu,2024,0,0,,12,jada_registration_statistics,jada_brand_registrations_2024.xls
lexus,2024,86071,0,0.0,12,jada_registration_statistics,jada_brand_registrations_2024.xls
mazda,2024,131868,8880,0.06734,12,jada_registration_statistics,jada_brand_registrations_2024.xls
mitsubishi,2024,104804,17,0.000162,12,jada_registration_statistics,jada_brand_registrations_2024.xls
nissan,2024,398488,14354,0.036021,12,jada_registration_statistics,jada_brand_registrations_2024.xls
other,2024,5866,0,0.0,12,jada_registration_statistics,jada_brand_registrations_2024.xls
subaru,2024,97995,0,0.0,12,jada_registration_statistics,jada_brand_registrations_2024.xls
suzuki,2024,598501,5819,0.009723,12,jada_registration_statistics,jada_brand_registrations_2024.xls
toyota,2024,1208923,1564,0.001294,12,jada_registration_statistics,jada_brand_registrations_2024.xls
daihatsu,2025,380185,0,0.0,12,jada_registration_statistics,jada_brand_registrations_2025.xls
honda,2025,589146,37022,0.06284,12,jada_registration_statistics,jada_brand_registrations_2025.xls
isuzu,2025,1,0,0.0,12,jada_registration_statistics,jada_brand_registrations_2025.xls
lexus,2025,87418,0,0.0,12,jada_registration_statistics,jada_brand_registrations_2025.xls
mazda,2025,139647,8661,0.062021,12,jada_registration_statistics,jada_brand_registrations_2025.xls
mitsubishi,2025,106099,0,0.0,12,jada_registration_statistics,jada_brand_registrations_2025.xls
nissan,2025,331407,9595,0.028952,12,jada_registration_statistics,jada_brand_registrations_2025.xls
other,2025,10895,0,0.0,12,jada_registration_statistics,jada_brand_registrations_2025.xls
subaru,2025,105451,0,0.0,12,jada_registration_statistics,jada_brand_registrations_2025.xls
suzuki,2025,614713,43266,0.070384,12,jada_registration_statistics,jada_brand_registrations_2025.xls
toyota,2025,1241036,1102,0.000888,12,jada_registration_statistics,jada_brand_registrations_2025.xls
