company,cohort_year,fuel,powertrain,units,share,months,source_id,source_file
daihatsu,2024,battery electric,BEV,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
daihatsu,2024,diesel,ICE,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
daihatsu,2024,fuel cell,FCEV,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
daihatsu,2024,hybrid,HEV,4833,0.307267,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
daihatsu,2024,other (mainly LPG),OTHER,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
daihatsu,2024,petrol,ICE,10896,0.692733,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
daihatsu,2024,plug-in hybrid,PHEV,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
honda,2024,battery electric,BEV,147,0.000439,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
honda,2024,diesel,ICE,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
honda,2024,fuel cell,FCEV,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
honda,2024,hybrid,HEV,246718,0.736489,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
honda,2024,other (mainly LPG),OTHER,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
honda,2024,petrol,ICE,88127,0.263072,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
honda,2024,plug-in hybrid,PHEV,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
imported,2024,battery electric,BEV,24057,0.079855,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
imported,2024,diesel,ICE,39768,0.132006,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
imported,2024,fuel cell,FCEV,35,0.000116,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
imported,2024,hybrid,HEV,109820,0.364537,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
imported,2024,other (mainly LPG),OTHER,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
imported,2024,petrol,ICE,118534,0.393462,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
imported,2024,plug-in hybrid,PHEV,9045,0.030024,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
mazda,2024,battery electric,BEV,12,0.000131,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
mazda,2024,diesel,ICE,26144,0.285705,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
mazda,2024,fuel cell,FCEV,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
mazda,2024,hybrid,HEV,21427,0.234157,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
mazda,2024,other (mainly LPG),OTHER,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
mazda,2024,petrol,ICE,43043,0.470379,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
mazda,2024,plug-in hybrid,PHEV,881,0.009628,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
mitsubishi,2024,battery electric,BEV,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
mitsubishi,2024,diesel,ICE,19886,0.475389,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
mitsubishi,2024,fuel cell,FCEV,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
mitsubishi,2024,hybrid,HEV,5392,0.1289,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
mitsubishi,2024,other (mainly LPG),OTHER,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
mitsubishi,2024,petrol,ICE,3830,0.091559,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
mitsubishi,2024,plug-in hybrid,PHEV,12723,0.304152,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
nissan,2024,battery electric,BEV,7823,0.033448,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
nissan,2024,diesel,ICE,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
nissan,2024,fuel cell,FCEV,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
nissan,2024,hybrid,HEV,194980,0.833665,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
nissan,2024,other (mainly LPG),OTHER,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
nissan,2024,petrol,ICE,31080,0.132887,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
nissan,2024,plug-in hybrid,PHEV,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
subaru,2024,battery electric,BEV,229,0.002499,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
subaru,2024,diesel,ICE,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
subaru,2024,fuel cell,FCEV,0,0.0,12,jada_registration_statistics,jada_fuel_by_maker_2024.xlsx
