company,destination,destination_level,origin,cohort_year,period,model,powertrain,units,basis,source_file
honda,AT,country,,2024,2024-01..2024-12,CIVIC E:HEV 2.0 ADVA,HEV,34,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,CIVIC E:HEV 2.0 ELEG,HEV,57,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,CIVIC E:HEV 2.0 SPOR,HEV,28,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,CIVIC TYPE R 2.0 TYP,ICE,12,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,CR-V E:HEV 2WD 2.0 E,HEV,21,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,CR-V E:HEV 4WD 2.0 A,HEV,82,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,CR-V E:HEV 4WD 2.0 E,HEV,45,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,CR-V PHEV 2.0 ADVANC,PHEV,35,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,E:NY1 EV ADVANCE,BEV,109,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,E:NY1 EV ELEGANCE,BEV,18,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,HONDA E EV ADVANCE,BEV,1,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,HR-V E:HEV 1.5 ADVAN,HEV,227,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,HR-V E:HEV 1.5 ELEGA,HEV,109,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,JAZZ 1.5 ADVANCE,HEV,46,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,JAZZ 1.5 ADVANCE SPO,HEV,22,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,JAZZ 1.5 ELEGANCE,HEV,41,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,JAZZ CROSSTAR 1.5 AD,HEV,63,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,UNASSIGNED,BEV,4,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,ZR-V 2.0 ADVANCE,HEV,49,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,ZR-V 2.0 ELEGANCE,HEV,17,registrations,eea_honda_2024_final.json
honda,AT,country,,2024,2024-01..2024-12,ZR-V 2.0 SPORT,HEV,84,registrations,eea_honda_2024_final.json
honda,BE,country,,2024,2024-01..2024-12,CIVIC,HEV,283,registrations,eea_honda_2024_final.json
honda,BE,country,,2024,2024-01..2024-12,CIVIC 5DR,ICE,1,registrations,eea_honda_2024_final.json
honda,BE,country,,2024,2024-01..2024-12,CIVIC TYPE R,ICE,38,registrations,eea_honda_2024_final.json
honda,BE,country,,2024,2024-01..2024-12,CR-V,HEV,249,registrations,eea_honda_2024_final.json
honda,BE,country,,2024,2024-01..2024-12,CR-V,PHEV,117,registrations,eea_honda_2024_final.json
honda,BE,country,,2024,2024-01..2024-12,E:NY1,BEV,139,registrations,eea_honda_2024_final.json
honda,BE,country,,2024,2024-01..2024-12,HR-V,HEV,513,registrations,eea_honda_2024_final.json
honda,BE,country,,2024,2024-01..2024-12,JAZZ,HEV,220,registrations,eea_honda_2024_final.json
honda,BE,country,,2024,2024-01..2024-12,ZR-V,HEV,233,registrations,eea_honda_2024_final.json
