reporter,flow,exporter,importer,year,hs6,powertrain_class,units,quantity_flag,value,currency,source_id,source_file
AT,imports,JP,AT,2022,870321,ICE,,reported,4457336.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2022,870322,ICE,,reported,4336166.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2022,870323,ICE,,reported,6244291.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2022,870324,ICE,,reported,261030.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2022,870331,ICE,,reported,20483.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2022,870332,ICE,,reported,68990.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2022,870333,ICE,,reported,686016.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2022,870340,HEV,,reported,5931867.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2022,870360,PHEV,,reported,5340.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2022,870380,BEV,,reported,676865.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2023,870321,ICE,,reported,14936552.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2023,870322,ICE,,reported,14583026.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2023,870323,ICE,,reported,16185751.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2023,870324,ICE,,reported,27096.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2023,870331,ICE,,reported,3449.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2023,870332,ICE,,reported,102680.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2023,870333,ICE,,reported,334280.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2023,870340,HEV,,reported,9071352.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2023,870380,BEV,,reported,2101555.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2024,870321,ICE,,reported,7882439.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2024,870322,ICE,,reported,31259886.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2024,870323,ICE,,reported,10129359.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2024,870324,ICE,,reported,12282.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2024,870331,ICE,,reported,6429.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2024,870332,ICE,,reported,241721.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2024,870333,ICE,,reported,746373.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2024,870340,HEV,,reported,7582395.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2024,870380,BEV,,reported,2971508.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2025,870321,ICE,,reported,249924.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2025,870322,ICE,,reported,18190791.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2025,870323,ICE,,reported,15883598.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2025,870324,ICE,,reported,74303.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2025,870332,ICE,,reported,54280.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2025,870333,ICE,,reported,634959.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2025,870340,HEV,,reported,5787246.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AT,imports,JP,AT,2025,870380,BEV,,reported,222865.0,EUR,eurostat_comext_ds045409,comext_imports_jp.json
AU,imports,JP,AU,2022,870321,ICE,876,reported,5154571.966,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870321,ICE,876,reported,5154571.966,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870322,ICE,20757,reported,304113357.849,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870322,ICE,20757,reported,304113357.849,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870323,ICE,186257,reported,3403741916.545,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870323,ICE,2,reported,50867.064,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870323,ICE,186255,reported,3403691049.481,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870324,ICE,10861,reported,328257347.873,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870324,ICE,2,reported,2643931.032,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870324,ICE,10859,reported,325613416.841,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870332,ICE,2248,reported,61861212.916,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870332,ICE,2248,reported,61861212.916,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870333,ICE,33512,reported,1300938249.26,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870333,ICE,33512,reported,1300938249.26,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870340,HEV,66893,reported,1308929358.496,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870340,HEV,66893,reported,1308929358.496,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870350,HEV,1,reported,3054.897,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870350,HEV,1,reported,3054.897,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870360,PHEV,413,reported,11762939.973,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870360,PHEV,3,reported,131188.064,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870360,PHEV,410,reported,11631751.909,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870380,BEV,803,reported,14236379.167,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870380,BEV,803,reported,14236379.167,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870390,OTHER,62,reported,921943.944,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2022,870390,OTHER,62,reported,921943.944,USD,un_comtrade_public,comtrade_au_m_jp_2022.json
AU,imports,JP,AU,2023,870321,ICE,379,reported,3151283.799,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870321,ICE,18,reported,2037.383,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870321,ICE,361,reported,3149246.417,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870322,ICE,25551,reported,394564427.237,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870322,ICE,25551,reported,394564427.237,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870323,ICE,198098,reported,3777733840.07,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870323,ICE,14,reported,245318.34,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870323,ICE,198084,reported,3777488521.73,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870324,ICE,16578,reported,576557350.399,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870324,ICE,16578,reported,576557350.399,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870332,ICE,1825,reported,49864594.806,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870332,ICE,1825,reported,49864594.806,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870333,ICE,42142,reported,1673163185.15,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870333,ICE,1,reported,33538.506,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870333,ICE,42141,reported,1673129646.643,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870340,HEV,88082,reported,1875771588.398,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870340,HEV,2,reported,90354.481,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870340,HEV,88080,reported,1875681233.918,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870350,HEV,2,reported,62931.18,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
AU,imports,JP,AU,2023,870350,HEV,2,reported,62931.18,USD,un_comtrade_public,comtrade_au_m_jp_2023.json
