company,segment,model,source_label,powertrain,tailpipe_gco2_km,tailpipe_low_gco2_km,tailpipe_high_gco2_km,n_trims,edition,test_cycle,source_id,source_file
nissan,passenger_car,Caravan,キャラバン,ICE,269.095,260.861,279.718,6,2026,WLTC_JP,mlit_fuel_economy_list,mlit_fuel_economy_petrol_car_wltc_2026.xlsx
nissan,passenger_car,Elgrand,エルグランド,ICE,254.993,232.166,276.388,11,2025,WLTC_JP,mlit_fuel_economy_list,mlit_fuel_economy_petrol_car_wltc_2025.xlsx
nissan,passenger_car,Fairlady Z,フェアレディZ,ICE,237.328,227.614,252.354,6,2026,WLTC_JP,mlit_fuel_economy_list,mlit_fuel_economy_petrol_car_wltc_2026.xlsx
nissan,passenger_car,GT-R,GT-R,ICE,301.05,297.649,309.555,7,2025,WLTC_JP,mlit_fuel_economy_list,mlit_fuel_economy_petrol_car_wltc_2025.xlsx
nissan,passenger_car,NV200,NV200,ICE,187.379,170.71,214.969,11,2026,WLTC_JP,mlit_fuel_economy_list,mlit_fuel_economy_petrol_car_wltc_2026.xlsx
nissan,passenger_car,Note,ノート,HEV,91.324,81.749,100.942,6,2026,WLTC_JP,mlit_fuel_economy_list,mlit_fuel_economy_petrol_car_wltc_2026.xlsx
nissan,passenger_car,Note Aura,ノートオーラ,HEV,95.758,85.355,102.276,3,2026,WLTC_JP,mlit_fuel_economy_list,mlit_fuel_economy_petrol_car_wltc_2026.xlsx
nissan,passenger_car,Serena,セレナ,HEV,125.505,112.157,144.202,10,2026,WLTC_JP,mlit_fuel_economy_list,mlit_fuel_economy_petrol_car_wltc_2026.xlsx
nissan,passenger_car,Serena,セレナ,ICE,186.145,173.258,200.143,5,2026,WLTC_JP,mlit_fuel_economy_list,mlit_fuel_economy_petrol_car_wltc_2026.xlsx
nissan,passenger_car,Skyline,スカイライン,ICE,232.166,232.166,232.166,9,2026,WLTC_JP,mlit_fuel_economy_list,mlit_fuel_economy_petrol_car_wltc_2026.xlsx
nissan,passenger_car,Vanette,バネット,ICE,181.248,170.71,193.472,9,2026,WLTC_JP,mlit_fuel_economy_list,mlit_fuel_economy_petrol_car_wltc_2026.xlsx
nissan,passenger_car,X-Trail,エクストレイル,HEV,124.008,117.851,129.702,16,2026,WLTC_JP,mlit_fuel_economy_list,mlit_fuel_economy_petrol_car_wltc_2026.xlsx
toyota,passenger_car,86,86,ICE,190.534,181.38,196.751,3,2026,WLTC_JP,mlit_fuel_economy_list,mlit_fuel_economy_petrol_car_wltc_2026.xlsx
