company,segment,model,powertrain,tailpipe_gco2_km,energy_wh_km,n_trims,test_cycle,source_id,source_file
genesis,passenger_car,G70,ICE,237.0,,111,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
genesis,passenger_car,G80,BEV,,230.8,3,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
genesis,passenger_car,G80,ICE,244.32,,79,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
genesis,passenger_car,G90,ICE,277.49,,82,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
genesis,passenger_car,GV60,BEV,,233.84,12,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
genesis,passenger_car,GV70,BEV,,229.81,7,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
genesis,passenger_car,GV70,ICE,236.7,,91,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
genesis,passenger_car,GV80,ICE,265.54,,148,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,passenger_car,Accent,ICE,173.66,,3,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,passenger_car,Aslan,ICE,242.95,,6,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,passenger_car,Avante,HEV,117.83,,9,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,passenger_car,Avante,ICE,167.75,,37,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,passenger_car,Casper,BEV,,193.33,5,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,passenger_car,Casper,ICE,176.05,,12,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,bus,Grand Starex,ICE,278.58,,15,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,freight,Grand Starex,ICE,261.74,,8,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,passenger_car,Grand Starex,ICE,305.47,,10,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,passenger_car,Grandeur,HEV,146.47,,7,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,passenger_car,Grandeur,ICE,222.77,,39,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,passenger_car,IONIQ,HEV,110.53,,2,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,passenger_car,IONIQ 5,BEV,,208.43,23,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,passenger_car,IONIQ 6,BEV,,188.02,14,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,passenger_car,IONIQ 9,BEV,,239.61,4,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,passenger_car,Kona,BEV,,191.4,6,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,passenger_car,Kona,HEV,125.83,,5,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,passenger_car,Kona,ICE,187.87,,29,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,freight,Korean Commercial 0.9t EV,BEV,,476.19,1,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
hyundai,freight,Korean Commercial 1t EV,BEV,,370.37,1,KR_5CYCLE,kea_fuel_economy_labels,kea_vehicle_fuel_economy_labels.csv
