company_id,company_name,company_country,phase,role_tier1,role_tier2,role_tier2_all,share,share_basis,origin,also_stated_by,gem_unit_id,gem_location_id,plant_name,country,fuel_type,status,capacity_mw,start_year,scenario,ti_lifetime_full_tco2,ti_lifetime_weighted_tco2,ti_remaining_full_tco2,ti_remaining_weighted_tco2,direction,tier,latitude,longitude,source_url
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000107412,L100000104345,Nghi Son coal power station,VN,coal,operating,660.0,2022,S1,63055988.28,,57158127.469,,liability,C,19.31581,105.80026,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000107412,L100000104345,Nghi Son coal power station,VN,coal,operating,660.0,2022,S2,63055988.28,,57158127.469,,liability,C,19.31581,105.80026,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000107413,L100000104345,Nghi Son coal power station,VN,coal,operating,660.0,2022,S1,63055988.28,,57158127.469,,liability,C,19.31581,105.80026,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000107413,L100000104345,Nghi Son coal power station,VN,coal,operating,660.0,2022,S2,63055988.28,,57158127.469,,liability,C,19.31581,105.80026,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000110670,L100000104310,Vung Ang power station,VN,coal,operating,660.0,2025,S1,52208141.176,,51031207.373,,liability,C,18.09792,106.38123,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000110670,L100000104310,Vung Ang power station,VN,coal,operating,660.0,2025,S2,52208141.176,,51031207.373,,liability,C,18.09792,106.38123,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000110671,L100000104310,Vung Ang power station,VN,coal,operating,660.0,2026,S1,52463842.453,,52463842.453,,liability,C,18.09792,106.38123,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000110671,L100000104310,Vung Ang power station,VN,coal,operating,660.0,2026,S2,52463842.453,,52463842.453,,liability,C,18.09792,106.38123,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000100538,L100000102699,Banten Suralaya power station,ID,coal,operating,1000.0,2025,S1,30251235.894,,29621554.592,,liability,C,-5.8892179,106.0336018,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000100538,L100000102699,Banten Suralaya power station,ID,coal,operating,1000.0,2025,S2,30251235.894,,29621554.592,,liability,C,-5.8892179,106.0336018,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000113472,L100000102699,Banten Suralaya power station,ID,coal,operating,1000.0,2025,S1,30251235.894,,29621554.592,,liability,C,-5.8892179,106.0336018,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000113472,L100000102699,Banten Suralaya power station,ID,coal,operating,1000.0,2025,S2,30251235.894,,29621554.592,,liability,C,-5.8892179,106.0336018,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000406382,L100000406237,Norte II power station,MX,gas,operating,433.0,2014,S1,-5000755.146,,-1725496.99,,contribution,C,28.442228,-105.917716,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000406382,L100000406237,Norte II power station,MX,gas,operating,433.0,2014,S2,-4517447.965,,-1242189.809,,contribution,C,28.442228,-105.917716,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000411495,L100000408240,Rabigh IPP power station,SA,oil,operating,602.0,2013,S1,8065865.048,,4745926.592,,liability,C,22.663575,39.036656,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000411496,L100000408240,Rabigh IPP power station,SA,oil,operating,602.0,2013,S1,8065865.048,,4745926.592,,liability,C,22.663575,39.036656,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000404602,L100000405486,Al Qatrana power plant,JO,gas,operating,373.0,2012,S1,-5395220.072,,-929579.294,,contribution,C,31.2226,36.0197,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000411581,L100000408212,IPP3 ICE power plant,JO,gas,operating,573.8,2014,S1,336539.57,,3091169.89,,liability,C,31.955219,35.945031,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000405051,L100000405594,Shuweihat S3 power plant,AE,gas,operating,823.5,2014,S1,-5412575.027,,1355387.802,,contribution,C,24.1535,52.566208,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000405051,L100000405594,Shuweihat S3 power plant,AE,gas,operating,823.5,2014,S2,-5412575.027,,1355387.802,,contribution,C,24.1535,52.566208,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000405052,L100000405594,Shuweihat S3 power plant,AE,gas,operating,823.5,2014,S1,-5412575.027,,1355387.802,,contribution,C,24.1535,52.566208,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000405052,L100000405594,Shuweihat S3 power plant,AE,gas,operating,823.5,2014,S2,-5412575.027,,1355387.802,,contribution,C,24.1535,52.566208,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000404367,L100000405308,Palua Indah power station,MY,gas,operating,600.0,2025,S1,-13633817.092,,-13014062.17,,contribution,C,2.940219,101.262108,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000404367,L100000405308,Palua Indah power station,MY,gas,operating,600.0,2025,S2,-10218319.179,,-9598564.257,,contribution,C,2.940219,101.262108,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000404368,L100000405308,Palua Indah power station,MY,gas,operating,600.0,2025,S1,-13633817.092,,-13014062.17,,contribution,C,2.940219,101.262108,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000404368,L100000405308,Palua Indah power station,MY,gas,operating,600.0,2025,S2,-10218319.179,,-9598564.257,,contribution,C,2.940219,101.262108,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000107172,L100000103181,Naga power station,PH,coal,operating,110.5,2010,S1,8647775.013,,4517607.358,,liability,C,10.21755,123.76058,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,sponsor_award,,award_share,company_ir,,G100000107173,L100000103181,Naga power station,PH,coal,operating,110.5,2011,S1,8480225.817,,4645798.647,,liability,C,10.21755,123.76058,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,operation,om_contractor,om_contract,om_contract,,contract_share,company_ir,,G100000404387,L100000405342,Ilijan power station,PH,gas,operating,625.5,2002,S1,-16689470.384,,-4639753.97,,contribution,C,13.622,121.0795,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,operation,om_contractor,om_contract,om_contract,,contract_share,company_ir,,G100000404388,L100000405342,Ilijan power station,PH,gas,operating,625.5,2002,S1,-16689470.384,,-4639753.97,,contribution,C,13.622,121.0795,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,investment,equity_owner,equity_direct,equity_direct,,equity_share,company_ir,gem,G100000407164,L100000406784,Egbin power station,NG,gas,operating,220.0,1985,S1,447859.926,,0.0,,liability,C,6.563713,3.615082,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
kepco,Korea Electric Power Corporation,KR,investment,equity_owner,equity_direct,equity_direct,,equity_share,company_ir,gem,G100000407164,L100000406784,Egbin power station,NG,gas,operating,220.0,1985,S2,447859.926,,0.0,,liability,C,6.563713,3.615082,https://www.kepco.co.kr/eng/business/overseas/business-overview.do
