company_id,company_name,company_country,phase,role_tier1,role_tier2_all,scenario,units,units_with_share,units_from_register,units_from_company_ir,units_from_gem,units_from_wiki,capacity_mw,ti_lifetime_full_tco2,ti_lifetime_weighted_tco2,ti_remaining_full_tco2,ti_remaining_weighted_tco2,direction_full
chugoku,Chugoku Electric Power,JP,investment,equity_owner,equity_direct|equity_parent,S1,6,6,0,4,1,1,4941.0,144598571.884,25888636.804,131977524.846,23938337.285,liability
chugoku,Chugoku Electric Power,JP,investment,equity_owner,equity_direct|equity_parent,S2,5,5,0,4,0,1,4820.0,154938956.151,27412137.308,141758844.023,25382450.547,liability
daewoo_ec,Daewoo Engineering & Construction,KR,construction,epc_contractor,epc_consortium_member|epc_lead,S1,5,0,0,4,0,1,2090.6,114521595.925,0,92109605.222,0,liability
daewoo_ec,Daewoo Engineering & Construction,KR,investment,equity_owner,equity_direct,S1,1,0,0,0,1,0,150.0,-8070824.291,0,-5748978.407,0,contribution
dl_enc,DL E&C,KR,construction,epc_contractor,epc_unspecified,S1,3,0,0,0,0,3,630.0,35763249.024,0,26333542.534,0,liability
dl_enc,DL E&C,KR,investment,equity_owner,equity_direct|equity_parent,S1,9,6,0,0,9,0,2638.0,34929674.024,13408599.625,22252756.805,9500643.278,liability
dl_enc,DL E&C,KR,investment,equity_owner,equity_direct|equity_parent,S2,3,3,0,0,3,0,1724.0,67006627.976,19165586.002,52361175.474,15075417.102,liability
doosan_enerbility,Doosan Enerbility,KR,construction,epc_contractor,epc_consortium_member|epc_lead,S1,17,2,0,15,0,2,12862.0,757991095.106,102383257.879,667080205.701,91634405.131,liability
doosan_enerbility,Doosan Enerbility,KR,construction,epc_contractor,epc_consortium_member|epc_lead,S2,17,2,0,15,0,2,12862.0,757991095.106,102383257.879,667080205.701,91634405.131,liability
doosan_enerbility,Doosan Enerbility,KR,construction,equipment_supplier,equipment_unspecified,S1,1,0,0,0,0,1,1050.0,-8391695.5,0,-8391695.5,0,contribution
doosan_enerbility,Doosan Enerbility,KR,construction,equipment_supplier,equipment_unspecified,S2,1,0,0,0,0,1,1050.0,-8391695.5,0,-8391695.5,0,contribution
ewp,Korea East-West Power,KR,investment,equity_owner,equity_direct,S1,3,0,0,0,1,2,332.0,11893689.819,0,9491256.179,0,liability
ewp,Korea East-West Power,KR,investment,equity_owner,equity_direct,S2,3,0,0,0,1,2,332.0,13680434.911,0,11278001.271,0,liability
hanwha_energy,Hanwha Energy,KR,investment,equity_owner,equity_direct,S1,13,8,0,0,13,0,3627.3,-50379372.66,-8395218.144,-48195104.736,-7488091.442,contribution
hanwha_energy,Hanwha Energy,KR,investment,equity_owner,equity_direct,S2,11,6,0,0,11,0,3611.0,-41545591.344,-7555731.297,-39484549.708,-6710217.74,contribution
hanwha_energy,Hanwha Energy,KR,operation,om_contractor,operator_of_record,S1,5,0,0,0,5,0,170.3,-2739513.2,0,-1884517.716,0,contribution
hanwha_energy,Hanwha Energy,KR,operation,om_contractor,operator_of_record,S2,3,0,0,0,3,0,154.0,-2356973.942,0,-1625204.746,0,contribution
hyundai_ec,Hyundai Engineering & Construction,KR,construction,epc_contractor,epc_balance_of_plant|epc_consortium_member,S1,3,0,0,3,0,0,2924.0,81639273.909,0,68015117.488,0,liability
hyundai_ec,Hyundai Engineering & Construction,KR,construction,epc_contractor,epc_balance_of_plant|epc_consortium_member,S2,3,0,0,3,0,0,2924.0,88535016.173,0,74910859.752,0,liability
hyundai_ec,Hyundai Engineering & Construction,KR,investment,equity_owner,equity_parent,S1,2,2,0,0,2,0,750.0,28107645.556,2726441.619,28107645.556,2726441.619,liability
hyundai_ec,Hyundai Engineering & Construction,KR,investment,equity_owner,equity_parent,S2,2,2,0,0,2,0,750.0,28107645.556,2726441.619,28107645.556,2726441.619,liability
hyundai_engineering,Hyundai Engineering,KR,construction,epc_contractor,epc_balance_of_plant,S1,2,0,0,2,0,0,2000.0,56409832.01,0,44283118.73,0,liability
hyundai_engineering,Hyundai Engineering,KR,construction,epc_contractor,epc_balance_of_plant,S2,2,0,0,2,0,0,2000.0,63305574.274,0,51178860.994,0,liability
hyundai_engineering,Hyundai Engineering,KR,investment,equity_owner,equity_direct,S1,8,2,0,0,8,0,1751.1,4792248.192,7026911.389,4792248.192,7026911.389,liability
hyundai_engineering,Hyundai Engineering,KR,investment,equity_owner,equity_direct,S2,8,2,0,0,8,0,1751.1,12170275.406,7026911.389,12170275.406,7026911.389,liability
ihi,IHI Corporation,JP,construction,epc_contractor,epc_consortium_member|epc_lead,S1,6,0,0,6,0,0,4632.0,194760825.11,0,174113659.153,0,liability
ihi,IHI Corporation,JP,construction,epc_contractor,epc_consortium_member|epc_lead,S2,4,0,0,4,0,0,3432.0,186184264.4,0,167145570.489,0,liability
ihi,IHI Corporation,JP,construction,equipment_supplier,boiler_supply,S1,8,0,0,8,0,0,6018.0,256130130.566,0,226621926.899,0,liability
ihi,IHI Corporation,JP,construction,equipment_supplier,boiler_supply,S2,4,0,0,4,0,0,3432.0,186184264.4,0,167145570.489,0,liability
ihi,IHI Corporation,JP,investment,equity_owner,equity_direct|equity_parent,S1,5,2,0,0,5,0,157.4,-1851558.766,2346942.652,0.0,0.0,contribution
ihi,IHI Corporation,JP,investment,equity_owner,equity_direct|equity_parent,S2,5,2,0,0,5,0,157.4,-1851558.766,2346942.652,0.0,0.0,contribution
itochu,ITOCHU Corporation,JP,investment,equity_owner,equity_direct|equity_parent,S1,38,34,0,0,38,0,9331.5,95338096.072,17607997.0,99318469.198,26478154.5,liability
itochu,ITOCHU Corporation,JP,investment,equity_owner,equity_direct|equity_parent,S2,37,34,0,0,37,0,9312.5,106465622.192,21606297.897,109644120.352,30476455.396,liability
jbic,Japan Bank for International Cooperation,JP,finance,lender,project_loan,S1,36,1,0,3,0,33,25319.6,497610985.193,12985940.194,372384277.274,7471265.091,liability
