gem_unit_id,scenario,dimension,variant,parameter,ti_lifetime_tco2,ti_remaining_tco2
G100000811471,S1,lifetime,central,25,-23284300.78,-23284300.78
G100000811471,S1,lifetime,low,20,-20425771.538,-20425771.538
G100000811471,S1,lifetime,high,30,-25578198.874,-25578198.874
G100000811471,S1,capacity_factor,central,0.2671,-23284300.78,-23284300.78
G100000811471,S1,capacity_factor,low,0.2378,-20730088.829,-20730088.829
G100000811471,S1,capacity_factor,high,0.2767,-24121175.688,-24121175.688
G100000811471,S2,lifetime,central,25,-23284300.78,-23284300.78
G100000811471,S2,lifetime,low,20,-20425771.538,-20425771.538
G100000811471,S2,lifetime,high,30,-25578198.874,-25578198.874
G100000811471,S2,capacity_factor,central,0.2671,-23284300.78,-23284300.78
G100000811471,S2,capacity_factor,low,0.2378,-20730088.829,-20730088.829
G100000811471,S2,capacity_factor,high,0.2767,-24121175.688,-24121175.688
G100000405012,S1,capacity_factor,central,0.3313,-9722433.719,-262638.378
G100000405012,S1,capacity_factor,low,0.3242,-9514074.892,-257009.847
G100000405012,S1,capacity_factor,high,0.3969,-11647551.894,-314642.838
G100000405012,S1,efficiency,central,0.55,-9722433.719,-262638.378
G100000405012,S1,efficiency,low,0.511,-8241586.298,160460.885
G100000405012,S1,efficiency,high,0.589,-11007175.711,-629707.519
G100000405012,S1,emission_factor,central,56100.0,-9722433.719,-262638.378
G100000405012,S1,emission_factor,low,54300.0,-10344856.187,-440473.369
G100000405012,S1,emission_factor,high,58300.0,-8961395.72,-45198.95
G100000405012,S2,capacity_factor,central,0.3313,-9722433.719,-262638.378
G100000405012,S2,capacity_factor,low,0.3242,-9514074.892,-257009.847
G100000405012,S2,capacity_factor,high,0.3969,-11647551.894,-314642.838
G100000405012,S2,efficiency,central,0.55,-9722433.719,-262638.378
G100000405012,S2,efficiency,low,0.511,-8241586.298,160460.885
G100000405012,S2,efficiency,high,0.589,-11007175.711,-629707.519
G100000405012,S2,emission_factor,central,56100.0,-9722433.719,-262638.378
G100000405012,S2,emission_factor,low,54300.0,-10344856.187,-440473.369
G100000405012,S2,emission_factor,high,58300.0,-8961395.72,-45198.95
G100000405013,S1,capacity_factor,central,0.3313,-4844396.039,-130864.798
G100000405013,S1,capacity_factor,low,0.3242,-4740577.106,-128060.269
G100000405013,S1,capacity_factor,high,0.3969,-5803624.473,-156777.053
G100000405013,S1,efficiency,central,0.55,-4844396.039,-130864.798
G100000405013,S1,efficiency,low,0.511,-4106534.348,79952.828
G100000405013,S1,efficiency,high,0.589,-5484544.296,-313764.298
G100000405013,S1,emission_factor,central,56100.0,-4844396.039,-130864.798
G100000405013,S1,emission_factor,low,54300.0,-5154530.417,-219474.62
G100000405013,S1,emission_factor,high,58300.0,-4465193.714,-22521.275
G100000405013,S2,capacity_factor,central,0.3313,-4844396.039,-130864.798
G100000405013,S2,capacity_factor,low,0.3242,-4740577.106,-128060.269
G100000405013,S2,capacity_factor,high,0.3969,-5803624.473,-156777.053
G100000405013,S2,efficiency,central,0.55,-4844396.039,-130864.798
G100000405013,S2,efficiency,low,0.511,-4106534.348,79952.828
G100000405013,S2,efficiency,high,0.589,-5484544.296,-313764.298
G100000405013,S2,emission_factor,central,56100.0,-4844396.039,-130864.798
G100000405013,S2,emission_factor,low,54300.0,-5154530.417,-219474.62
G100000405013,S2,emission_factor,high,58300.0,-4465193.714,-22521.275
G100000405014,S1,capacity_factor,central,0.3313,-9722433.719,-262638.378
G100000405014,S1,capacity_factor,low,0.3242,-9514074.892,-257009.847
G100000405014,S1,capacity_factor,high,0.3969,-11647551.894,-314642.838
G100000405014,S1,efficiency,central,0.55,-9722433.719,-262638.378
G100000405014,S1,efficiency,low,0.511,-8241586.298,160460.885
G100000405014,S1,efficiency,high,0.589,-11007175.711,-629707.519
G100000405014,S1,emission_factor,central,56100.0,-9722433.719,-262638.378
G100000405014,S1,emission_factor,low,54300.0,-10344856.187,-440473.369
G100000405014,S1,emission_factor,high,58300.0,-8961395.72,-45198.95
G100000405014,S2,capacity_factor,central,0.3313,-9722433.719,-262638.378
G100000405014,S2,capacity_factor,low,0.3242,-9514074.892,-257009.847
G100000405014,S2,capacity_factor,high,0.3969,-11647551.894,-314642.838
G100000405014,S2,efficiency,central,0.55,-9722433.719,-262638.378
G100000405014,S2,efficiency,low,0.511,-8241586.298,160460.885
G100000405014,S2,efficiency,high,0.589,-11007175.711,-629707.519
G100000405014,S2,emission_factor,central,56100.0,-9722433.719,-262638.378
G100000405014,S2,emission_factor,low,54300.0,-10344856.187,-440473.369
G100000405014,S2,emission_factor,high,58300.0,-8961395.72,-45198.95
G100000405015,S1,lifetime,central,30,23683386.434,24241865.151
G100000405015,S1,lifetime,low,25,15652428.118,16210906.835
G100000405015,S1,lifetime,high,40,42378714.79,42937193.507
G100000405015,S1,capacity_factor,central,0.3313,23683386.434,24241865.151
G100000405015,S1,capacity_factor,low,0.3242,23175834.237,23722344.349
G100000405015,S1,capacity_factor,high,0.3969,28372882.812,29041944.698
G100000405015,S1,efficiency,central,0.55,23683386.434,24241865.151
G100000405015,S1,efficiency,low,0.511,29539431.604,29902708.815
G100000405015,S1,efficiency,high,0.589,18602844.703,19330674.811
G100000405015,S1,emission_factor,central,56100.0,23683386.434,24241865.151
G100000405015,S1,emission_factor,low,54300.0,21222002.484,21862527.333
G100000405015,S1,emission_factor,high,58300.0,26692928.691,27151089.333
G100000405015,S2,lifetime,central,30,23683386.434,24241865.151
G100000405015,S2,lifetime,low,25,15652428.118,16210906.835
G100000405015,S2,lifetime,high,40,42378714.79,42937193.507
G100000405015,S2,capacity_factor,central,0.3313,23683386.434,24241865.151
G100000405015,S2,capacity_factor,low,0.3242,23175834.237,23722344.349
G100000405015,S2,capacity_factor,high,0.3969,28372882.812,29041944.698
G100000405015,S2,efficiency,central,0.55,23683386.434,24241865.151
G100000405015,S2,efficiency,low,0.511,29539431.604,29902708.815
G100000405015,S2,efficiency,high,0.589,18602844.703,19330674.811
G100000405015,S2,emission_factor,central,56100.0,23683386.434,24241865.151
G100000405015,S2,emission_factor,low,54300.0,21222002.484,21862527.333
G100000405015,S2,emission_factor,high,58300.0,26692928.691,27151089.333
G100000405045,S1,lifetime,central,30,3167878.087,4432890.816
G100000405045,S1,lifetime,low,25,1389069.251,2654081.98
G100000405045,S1,lifetime,high,40,7510576.04,8775588.769
G100000405045,S1,capacity_factor,central,0.3313,3167878.087,4432890.816
G100000405045,S1,capacity_factor,low,0.3242,3099988.155,4337890.741
G100000405045,S1,capacity_factor,high,0.3969,3795142.811,5310637.987
G100000405045,S1,efficiency,central,0.55,3167878.087,4432890.816
G100000405045,S1,efficiency,low,0.511,4631889.379,5652900.226
G100000405045,S1,efficiency,high,0.589,1897742.653,3374444.62
G100000405045,S1,emission_factor,central,56100.0,3167878.087,4432890.816
G100000405045,S1,emission_factor,low,54300.0,2552532.098,3920102.491
G100000405045,S1,emission_factor,high,58300.0,3920263.652,5059878.787
G100000405045,S2,lifetime,central,30,3167878.087,4432890.816
G100000405045,S2,lifetime,low,25,1389069.251,2654081.98
G100000405045,S2,lifetime,high,40,7510576.04,8775588.769
G100000405045,S2,capacity_factor,central,0.3313,3167878.087,4432890.816
G100000405045,S2,capacity_factor,low,0.3242,3099988.155,4337890.741
G100000405045,S2,capacity_factor,high,0.3969,3795142.811,5310637.987
G100000405045,S2,efficiency,central,0.55,3167878.087,4432890.816
G100000405045,S2,efficiency,low,0.511,4631889.379,5652900.226
G100000405045,S2,efficiency,high,0.589,1897742.653,3374444.62
G100000405045,S2,emission_factor,central,56100.0,3167878.087,4432890.816
G100000405045,S2,emission_factor,low,54300.0,2552532.098,3920102.491
G100000405045,S2,emission_factor,high,58300.0,3920263.652,5059878.787
G100000405046,S1,lifetime,central,30,4708914.84,5226225.265
G100000405046,S1,lifetime,low,25,2810606.15,3327916.575
G100000405046,S1,lifetime,high,40,9224461.946,9741772.371
G100000405046,S1,capacity_factor,central,0.3313,4708914.84,5226225.265
G100000405046,S1,capacity_factor,low,0.3242,4607999.369,5114223.456
G100000405046,S1,capacity_factor,high,0.3969,5641316.935,6261058.884
G100000405046,S1,efficiency,central,0.55,4708914.84,5226225.265
G100000405046,S1,efficiency,low,0.511,6172926.132,6543835.429
G100000405046,S1,efficiency,high,0.589,3438779.406,4083103.375
G100000405046,S1,emission_factor,central,56100.0,4708914.84,5226225.265
G100000405046,S1,emission_factor,low,54300.0,4093568.852,4672413.876
G100000405046,S1,emission_factor,high,58300.0,5461300.405,5903372.274
G100000405046,S2,lifetime,central,30,4708914.84,5226225.265
G100000405046,S2,lifetime,low,25,2810606.15,3327916.575
G100000405046,S2,lifetime,high,40,9224461.946,9741772.371
G100000405046,S2,capacity_factor,central,0.3313,4708914.84,5226225.265
G100000405046,S2,capacity_factor,low,0.3242,4607999.369,5114223.456
G100000405046,S2,capacity_factor,high,0.3969,5641316.935,6261058.884
G100000405046,S2,efficiency,central,0.55,4708914.84,5226225.265
G100000405046,S2,efficiency,low,0.511,6172926.132,6543835.429
G100000405046,S2,efficiency,high,0.589,3438779.406,4083103.375
G100000405046,S2,emission_factor,central,56100.0,4708914.84,5226225.265
G100000405046,S2,emission_factor,low,54300.0,4093568.852,4672413.876
G100000405046,S2,emission_factor,high,58300.0,5461300.405,5903372.274
G100000405047,S1,lifetime,central,30,4708914.84,5226225.265
G100000405047,S1,lifetime,low,25,2810606.15,3327916.575
G100000405047,S1,lifetime,high,40,9224461.946,9741772.371
G100000405047,S1,capacity_factor,central,0.3313,4708914.84,5226225.265
G100000405047,S1,capacity_factor,low,0.3242,4607999.369,5114223.456
G100000405047,S1,capacity_factor,high,0.3969,5641316.935,6261058.884
G100000405047,S1,efficiency,central,0.55,4708914.84,5226225.265
G100000405047,S1,efficiency,low,0.511,6172926.132,6543835.429
G100000405047,S1,efficiency,high,0.589,3438779.406,4083103.375
G100000405047,S1,emission_factor,central,56100.0,4708914.84,5226225.265
G100000405047,S1,emission_factor,low,54300.0,4093568.852,4672413.876
G100000405047,S1,emission_factor,high,58300.0,5461300.405,5903372.274
