gem_unit_id,gem_location_id,country,country_name,plant_name,unit_name,gem_type,fuel_type,fuel_detail,technology,capacity_mw,status,start_year,retired_year,operator,owner,parent,latitude,longitude,capacity_factor,heat_rate_mj_per_kwh,gem_emission_factor_kgco2_per_tj,wiki_url,matched_companies,source_id,source_file
G100000811471,L100000809137,AE,United Arab Emirates,Al Ajban PV solar farm,--,utility-scale solar,solar,,PV,1500.0,construction,2026,,Masdar Clean Energy; Korea Western Power; EDF Renewables,Korea Western Power Co Ltd [20%]; EDF Renewables [20%]; Masdar Clean Energy [60%],,24.5696,55.2786,,,,https://www.gem.wiki/Al_Ajban_PV_solar_farm,kowepo,gem_global_integrated_power_tracker,gem_global_integrated_power_2026_08_v3.xlsx
G100000405012,L100000405577,AE,United Arab Emirates,Fujairah F2 Integrated Water and power plant,1,oil/gas,gas,fossil gas: natural gas,combined cycle,867.0,operating,2011,2031,,Fujairah Asia Power Company PJSC [100%],Abu Dhabi National Energy Company PJSC [60.0%]; ENGIE SA [20.0%]; Marubeni Corp [20.0%],25.301931,56.370353,,,,https://www.gem.wiki/Fujairah_F2_Integrated_Water_and_power_plant,marubeni,gem_global_integrated_power_tracker,gem_global_integrated_power_2026_08_v3.xlsx
G100000405013,L100000405577,AE,United Arab Emirates,Fujairah F2 Integrated Water and power plant,2,oil/gas,gas,fossil gas: natural gas,combined cycle,432.0,operating,2011,2031,,Fujairah Asia Power Company PJSC [100%],Abu Dhabi National Energy Company PJSC [60.0%]; ENGIE SA [20.0%]; Marubeni Corp [20.0%],25.301931,56.370353,,,,https://www.gem.wiki/Fujairah_F2_Integrated_Water_and_power_plant,marubeni,gem_global_integrated_power_tracker,gem_global_integrated_power_2026_08_v3.xlsx
G100000405014,L100000405577,AE,United Arab Emirates,Fujairah F2 Integrated Water and power plant,3,oil/gas,gas,fossil gas: natural gas,combined cycle,867.0,operating,2011,2031,,Fujairah Asia Power Company PJSC [100%],Abu Dhabi National Energy Company PJSC [60.0%]; ENGIE SA [20.0%]; Marubeni Corp [20.0%],25.301931,56.370353,,,,https://www.gem.wiki/Fujairah_F2_Integrated_Water_and_power_plant,marubeni,gem_global_integrated_power_tracker,gem_global_integrated_power_2026_08_v3.xlsx
G100000405015,L100000405578,AE,United Arab Emirates,Fujairah F3 Integrated Water and power plant,1,oil/gas,gas,fossil gas: natural gas,combined cycle,2400.0,operating,2025,,F3 Holding,F3 Holding Co [100%],Abu Dhabi Developmental Holding Company PJSC [60.0%]; Marubeni Corp [40.0%],25.301931,56.370353,,,,https://www.gem.wiki/Fujairah_F3_Integrated_Water_and_power_plant,marubeni,gem_global_integrated_power_tracker,gem_global_integrated_power_2026_08_v3.xlsx
G100000405045,L100000405579,AE,United Arab Emirates,Hamriyah IPP power station,1,oil/gas,gas,fossil gas: natural gas,combined cycle,600.0,operating,2021,,Sharjah Hamriyah Independent Power,Sharjah Hamriyah Independent Power Co [100%],General Electric Co [25.0%]; Sharjah Asset Management [25.0%]; Shikoku Electric Power Co Inc [25.0%]; Sumitomo Corp [25.0%],25.459488,55.478473,,,,https://www.gem.wiki/Hamriyah_IPP_power_station,sumitomo_corp;shikoku,gem_global_integrated_power_tracker,gem_global_integrated_power_2026_08_v3.xlsx
G100000405046,L100000405579,AE,United Arab Emirates,Hamriyah IPP power station,2,oil/gas,gas,fossil gas: natural gas,combined cycle,600.0,operating,2023,,Sharjah Hamriyah Independent Power,Sharjah Hamriyah Independent Power Co [100%],General Electric Co [25.0%]; Sharjah Asset Management [25.0%]; Shikoku Electric Power Co Inc [25.0%]; Sumitomo Corp [25.0%],25.459488,55.478473,,,,https://www.gem.wiki/Hamriyah_IPP_power_station,sumitomo_corp;shikoku,gem_global_integrated_power_tracker,gem_global_integrated_power_2026_08_v3.xlsx
G100000405047,L100000405579,AE,United Arab Emirates,Hamriyah IPP power station,3,oil/gas,gas,fossil gas: natural gas,combined cycle,600.0,operating,2023,,Sharjah Hamriyah Independent Power,Sharjah Hamriyah Independent Power Co [100%],General Electric Co [25.0%]; Sharjah Asset Management [25.0%]; Shikoku Electric Power Co Inc [25.0%]; Sumitomo Corp [25.0%],25.459488,55.478473,,,,https://www.gem.wiki/Hamriyah_IPP_power_station,sumitomo_corp;shikoku,gem_global_integrated_power_tracker,gem_global_integrated_power_2026_08_v3.xlsx
G100000405038,L100000405588,AE,United Arab Emirates,Mirfa Independent Water and Power Project,CC,oil/gas,gas,fossil gas: natural gas,combined cycle,1337.0,operating,2017,2042,,Mirfa International Power and Water Company PJSC [100%],Abu Dhabi Water and Electricity Authority [60.0%]; ENGIE SA [20.0%]; Sojitz Corp [20.0%],24.121,53.447,,,,https://www.gem.wiki/Mirfa_Independent_Water_and_Power_Project,sojitz,gem_global_integrated_power_tracker,gem_global_integrated_power_2026_08_v3.xlsx
G100000405039,L100000405588,AE,United Arab Emirates,Mirfa Independent Water and Power Project,1,oil/gas,gas,fossil gas: natural gas,gas turbine,90.0,operating,2017,2042,,Mirfa International Power and Water Company PJSC [100%],Abu Dhabi Water and Electricity Authority [60.0%]; ENGIE SA [20.0%]; Sojitz Corp [20.0%],24.121,53.447,,,,https://www.gem.wiki/Mirfa_Independent_Water_and_Power_Project,sojitz,gem_global_integrated_power_tracker,gem_global_integrated_power_2026_08_v3.xlsx
