dataset,file,source_id,original_name,sha256,note
geography,world_countries.json,world_countries_codes,countries.json,359431fb9475666dfad1ea5e72e53521cef40520f65eecd08e02ba569eb8491b,world-countries 5.1.0
grid,owid_carbon_intensity_electricity.csv,owid_ember_grid_intensity,carbon-intensity-electricity.csv,96f8a3dfd845f0cfea6bdd16274fe7a97b790c20237ad788bbdfda5ab08aece9,"OWID grapher CSV export, all entities"
emission_factors,ipcc_2006_v2_ch2_stationary_combustion.pdf,ipcc_2006_v2_ch2,V2_2_Ch2_Stationary_Combustion.pdf,a25d9f96d7672df391b328de79d4cfd812c07fe79d5cf4a30d23d82d8f02985b,IPCC 2006 GL Vol 2 Ch 2
targets,climatewatch_ndc_content.json,climatewatch_ndc_content,ndcs (API response),801eff8e3d0c399209ae7524965e06e8f6929456a6c32705d2c08e24cdfcd84f,"9 indicators, all countries, every submission"
geography,countries-110m.json,world_atlas_110m,countries-110m.json,2516c915867c7baf18ddec727aec46c315541a07cfb3d79a6559b05d5e94eee8,world-atlas 2.0.2
roles,gem_wiki_pages.json,gem_wiki,"api.php?action=parse (one JSON per page, bundled)",dd618be6412670c9d6d6e2f9cbf525ec67d8cda3286b8a9c94f5e6516d04b4b7,"420 pages, 1 without wikitext"
targets,climatewatch_ndc_content.csv,climatewatch_ndc_content,ndcs (API response),163754fa9f32caa4500f986b4fd611325723dab13892e08de4d01148d5943633,"6442 rows: country x indicator x submission, value as stated"
targets,climatewatch_ndc_submissions.csv,climatewatch_ndc_content,ndcs (API response),830cce4604689e2d19beb91f8c74939b716d14c6561da61d4d4f13c2d1fd824f,5 NDC submission types in the order they supersede
roles,index.csv,company_ir_pages,company disclosure pages (one file per source_key),0b40e4c5faf7f2051f968c271eaac5142f0a9ff63b5f5f1e22b862e572423f4e,"index of 12 pages in raw/company_ir/, each with its URL and SHA-256"
projects,gem_global_integrated_power_2026_08_v3.xlsx,gem_global_integrated_power_tracker,gem_global_integrated_power_2026_08_v3.xlsx,432757ffdcae7ffd204258b064a46a0483f10b07dbf66c5ae0b2434d83fabe87,hand download through GEM's form; release as named in the file
