source_key,company_id,file,url,content_type,bytes,sha256,fetched,what_it_states
aes_vietnam_mong_duong_2,posco_international,aes_vietnam_mong_duong_2.html,https://www.aes-vietnam.com/en/aes-agrees-sell-mong-duong-2-coal-fired-plant-vietnam,text/html; charset=UTF-8,69082,a7c1863c1d1e0f8bf82cfc1edb744746997416b42db6d5484448aa3d6a37a6a0,2026-09-07,"AES Vietnam's own release on agreeing to sell its 51 % equity in Mong Duong 2, naming the partners and their stakes"
banktrack_vung_ang_ii,kepco,banktrack_vung_ang_ii.html,https://www.banktrack.org/project/vung_ang_ii_thermal_power_plant_vietnam,text/html; charset=UTF-8,222807,37839532a1a1740f014eeb560450b466d079e58baf7a9c03af6121dfc7ad5c87,2026-09-07,"BankTrack's Vung Ang II project page: the project company's shareholders and their percentages (KEPCO, Mitsubishi, Chugoku Electric, Shikoku Electric) and the banks financing it"
doosan_song_hau_1_epc,doosan_enerbility,doosan_song_hau_1_epc.html,https://www.doosanenerbility.com/en/about/news_board_view?id=12861&page=9&pageSize=9,text/html;charset=UTF-8,33509,a6d193f451be36b85c8299129a792bba6ea1e4991862f81b16a389fa52cf36d4,2026-09-07,"Doosan's own release (2015-04-13) on winning the Song Hau 1 1,200 MW coal plant in Vietnam as main EPC contractor supplying boilers and turbines"
doosan_vinh_tan_4_ext,doosan_enerbility,doosan_vinh_tan_4_ext.html,https://www.doosanenerbility.com/en/about/news_board_view?id=12912&page=9&pageSize=9,text/html;charset=UTF-8,29862,0a626ee4a982c99a420e003e52c46cd4fde1b7acb6a4067adfd65a7842024105,2026-09-07,Doosan's own release on the Vinh Tan 4 extension in Vietnam: the EPC contract and its scope
gem_wiki_banten_suralaya,kepco,gem_wiki_banten_suralaya.html,https://www.gem.wiki/Banten_Suralaya_power_station,text/html; charset=UTF-8,108072,7edc07ddc1e5747c272b0c8f6ed7c2d9e4bd4dc89bee5aebb9f10adcf4d23f61,2026-09-07,"GEM wiki page for Banten Suralaya (Jawa 9 and 10 are Units 9 and 10 of this station): ownership of the Jawa 9-10 joint venture including KEPCO's stake, and the EPC contractor"
jpower_gemeng_china,jpower,jpower_gemeng_china.pdf,https://www.jpower.co.jp/english/news_release/news/news090807.pdf,application/pdf,78269,91653064b6ebcc503c819d070c71a7ccfd41837beba71ccb32c74e78ec049857,2026-09-07,"J-POWER's own release (2009-08-07) on participating in Gemeng International Energy in Shanxi, China: the joint venture's shareholders and J-POWER's equity share"
kepco_overseas_overview,kepco,kepco_overseas_overview.html,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,text/html;charset=utf-8,321806,1929e383d3f4be8bc901f6d78a6531b66286a913cb0e7e9d6d42d55345f1b6ed,2026-09-07,"KEPCO's own overseas business overview: every overseas power project with its country, fuel, capacity and the role KEPCO states for it (Construction & Operation / Investment & Operation / Development / Joint Venture / Acquisition), plus its total overseas equity capacity"
marubeni_nghi_son_2_award,marubeni,marubeni_nghi_son_2_award.html,https://www.marubeni.com/en/news/2013/release/00011.html,text/html; charset=UTF-8,12402,f76112dbdd44d8a2ad5644c87b4b4b4851156e8fd0d47df0265b5838a2ba9cb7,2026-09-07,"Marubeni's own release (2013) on the notification of award for Nghi Son 2, with the Marubeni and KEPCO shareholding ratio at award"
mhi_jorf_lasfar_turbines,mhi,mhi_jorf_lasfar_turbines.html,https://www.mhi.com/news/1105101429.html,text/html; charset=UTF-8,613788,79ef17eb19c423af4a4177f7cf3119594cf5ecc62a813acb6e03be716fb35711,2026-09-07,"Mitsubishi Heavy Industries' own release (2011-05-10) on supplying two steam turbines for Jorf Lasfar units 5 and 6 in Morocco to the Daewoo E&C / Mitsui consortium, with IHI supplying the boilers"
ns2pc_project_information,marubeni,ns2pc_project_information.html,https://ns2pc.com/pages/project-information,text/html; charset=utf-8,360914,9b4501292892beb4ed142f731de6156bcf60e065d99189bafc7ea97ba2b7b38b,2026-09-07,The Nghi Son 2 project company's own page: the current shareholders of Nghi Son 2 Power Company and their percentages
sumitomo_van_phong_1,sumitomo_corp,sumitomo_van_phong_1.html,https://www.sumitomocorp.com/en/jp/news/release/2019/group/12310,text/html; charset=utf-8,77579,950cbc181bf5c2f7986097a27474dac426098c32a64e667602810a888803b11d,2026-09-07,Sumitomo Corporation's own release (2019-08-26) on starting construction of Van Phong 1 in Vietnam through its wholly owned subsidiary Van Phong Power Company
toshiba_matarbari_2017,toshiba,toshiba_matarbari_2017.html,https://www.global.toshiba/ww/news/corporate/2017/08/pr2301.html,text/html;charset=utf-8,38702,f1eb5c56a34fc050aa6e501510ba5719c0d48783bd52bc4260da5e7f4c48a4ac,2026-09-07,"Toshiba's own release (2017-08-23) on the orders for the Matarbari coal-fired plant and port in Bangladesh: Toshiba supplies and installs the steam turbines and generators, IHI the boilers, Sumitomo the civil works and port"
