company_id,gem_unit_id,gem_location_id,plant_name,country,role_tier2,share,from_year,to_year,role_as_stated,role_source_key,role_source_url,role_quote,share_source_key,share_source_url,share_quote,accessed_date,note
kepco,,L100000104345,Nghi Son coal power station,VN,sponsor_award,,,,"Awarded Nghi Son II Coal-fired Power Project (1,200 MW)",kepco_overseas_overview,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Awarded Nghi Son II Coal-fired Power Project (1,200 MW)",,,,2026-09-07,"KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project"
kepco,G100000110670,,Vung Ang power station Phase 2 Unit 1,VN,sponsor_award,,,,"Awarded Vung Ang 2 Coal-fired Power Project (1,200 MW)",kepco_overseas_overview,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Awarded Vung Ang 2 Coal-fired Power Project (1,200 MW)",,,,2026-09-07,"KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project"
kepco,G100000110671,,Vung Ang power station Phase 2 Unit 2,VN,sponsor_award,,,,"Awarded Vung Ang 2 Coal-fired Power Project (1,200 MW)",kepco_overseas_overview,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Awarded Vung Ang 2 Coal-fired Power Project (1,200 MW)",,,,2026-09-07,"KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project"
kepco,G100000100538,,Banten Suralaya power station Unit 09 (Jawa 9),ID,sponsor_award,,,,"Awarded Java 9 & 10 Coal-fired Power Project (2,000 MW)",kepco_overseas_overview,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Awarded Java 9 & 10 Coal-fired Power Project (2,000 MW)",,,,2026-09-07,"KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project"
kepco,G100000113472,,Banten Suralaya power station Unit 10 (Jawa 10),ID,sponsor_award,,,,"Awarded Java 9 & 10 Coal-fired Power Project (2,000 MW)",kepco_overseas_overview,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Awarded Java 9 & 10 Coal-fired Power Project (2,000 MW)",,,,2026-09-07,"KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project"
kepco,G100000406382,,Norte II power station,MX,sponsor_award,,,,Awarded Norte II Combined Cycle Power Plant (433 MW),kepco_overseas_overview,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,Awarded Norte II Combined Cycle Power Plant (433 MW),,,,2026-09-07,"KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project"
kepco,,L100000408240,Rabigh IPP power station,SA,sponsor_award,,,,"Awarded Rabigh Heavy Fuel Power Plant (1,204 MW)",kepco_overseas_overview,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Awarded Rabigh Heavy Fuel Power Plant (1,204 MW)",,,,2026-09-07,"KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project"
kepco,G100000404602,,Al Qatrana power plant,JO,sponsor_award,,,,Awarded Al Qatrana Combined Cycle Power Plant (373 MW),kepco_overseas_overview,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,Awarded Al Qatrana Combined Cycle Power Plant (373 MW),,,,2026-09-07,"KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project"
kepco,G100000411581,,IPP3 ICE power plant (Amman),JO,sponsor_award,,,,Awarded Amman Diesel Thermal Power Plant (573 MW),kepco_overseas_overview,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,Awarded Amman Diesel Thermal Power Plant (573 MW),,,,2026-09-07,"KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project"
kepco,,L100000405594,Shuweihat S3 power plant,AE,sponsor_award,,,,"Awarded Shuweihat S3 Combined Cycle Power Plant (1,600 MW)",kepco_overseas_overview,https://www.kepco.co.kr/eng/business/overseas/business-overview.do,"Awarded Shuweihat S3 Combined Cycle Power Plant (1,600 MW)",,,,2026-09-07,"KEPCO's own overseas history list states an award, which is a sponsor's development role; it states neither an equity share nor an O&M contract for this project"
