key,url,final_url,http_status,content_type,bytes,sha256,transport,registered_title,registered_year,checked,note
afionis_consumption_based_future,https://doi.org/10.1002/wcc.438,https://wires.onlinelibrary.wiley.com/doi/10.1002/wcc.438,200,,,,doi_handle,Consumption‐based carbon accounting: does it have a future?,2016,2026-09-11,
bowman_pacer_framework,https://doi.org/10.1080/17583004.2026.2682834,https://www.tandfonline.com/doi/full/10.1080/17583004.2026.2682834,200,,,,doi_handle,Assessing avoided carbon impacts: introducing the potential avoidance of carbon emissions through research (PACER) framework,2026,2026-09-11,
brander_attributional_consequential,https://doi.org/10.1080/17583004.2022.2088402,https://www.tandfonline.com/doi/full/10.1080/17583004.2022.2088402,200,,,,doi_handle,The most important GHG accounting concept you may not have heard of: the attributional-consequential distinction,2022,2026-09-11,
bylahally_credit_allocation,https://doi.org/10.1007/s11367-026-02605-4,https://link.springer.com/10.1007/s11367-026-02605-4,200,,,,doi_handle,A utility-based framework for avoided emissions credit-allocation in product reuse,2026,2026-09-11,
carbon_majors,https://carbonmajors.org/site/data/000/027/Carbon_Majors_Launch_Report.pdf,https://carbonmajors.org/site/data/000/027/Carbon_Majors_Launch_Report.pdf,200,application/pdf,1342948,,urllib,,,2026-09-11,
carbone4_nzi_pillar_b,https://carbone4.com/files/Net_Zero_Initiative_The_pillar_B_guide.pdf,https://carbone4.com/files/Net_Zero_Initiative_The_pillar_B_guide.pdf,200,application/pdf,6380726,,urllib,,,2026-09-11,
cbam_regulation,https://eur-lex.europa.eu/eli/reg/2023/956/oj,https://eur-lex.europa.eu/eli/reg/2023/956/oj,200,text/html; charset=UTF-8,,,urllib,,,2026-09-11,
cdm_tool07_grid_emission_factor,https://cdm.unfccc.int/methodologies/PAmethodologies/tools/am-tool-07-v7.0.pdf,https://cdm.unfccc.int/methodologies/PAmethodologies/tools/am-tool-07-v7.0.pdf,200,application/pdf,1231188,,urllib,,,2026-09-11,
cdp_scope3_relevance,https://cdn.cdp.net/cdp-production/cms/guidance_docs/pdfs/000/003/504/original/CDP-technical-note-scope-3-relevance-by-sector.pdf,https://cdn.cdp.net/cdp-production/cms/guidance_docs/pdfs/000/003/504/original/CDP-technical-note-scope-3-relevance-by-sector.pdf,200,application/pdf,6782610,,urllib,,,2026-09-11,
censkowsky_export_finance_shift,https://doi.org/10.1038/s41467-025-55981-0,https://www.nature.com/articles/s41467-025-55981-0,200,,,,doi_handle,Quantifying the shift of public export finance from fossil fuels to renewable energy,2025,2026-09-11,
climate_analytics_australia_footprint,https://ca1-clm.edcdn.com/publications/Aust_fossilcarbon_footprint.pdf,https://ca1-clm.edcdn.com/publications/Aust_fossilcarbon_footprint.pdf,200,application/pdf,3388819,,urllib,,,2026-09-11,
cui_coal_plant_lifetimes,https://doi.org/10.1038/s41467-019-12618-3,https://www.nature.com/articles/s41467-019-12618-3,200,,,,doi_handle,Quantifying operational lifetimes for coal power plants under the Paris goals,2019,2026-09-11,
davis_caldeira_consumption_based,https://doi.org/10.1073/pnas.0906974107,https://pnas.org/doi/full/10.1073/pnas.0906974107,200,,,,doi_handle,"Consumption-based accounting of CO
                    <sub>2</sub>
                    emissions",2010,2026-09-11,
davis_future_co2,https://doi.org/10.1126/science.1188566,https://www.science.org/doi/10.1126/science.1188566,200,,,,doi_handle,"Future CO
                    <sub>2</sub>
                    Emissions and Climate Change from Existing Energy Infrastructure",2010,2026-09-11,
davis_socolow_commitment_accounting,https://doi.org/10.1088/1748-9326/9/8/084018,https://iopscience.iop.org/article/10.1088/1748-9326/9/8/084018,200,,,,doi_handle,"Commitment accounting of CO
                    <sub>2</sub>
                    emissions",2014,2026-09-11,
de_giovanni_scope4,https://doi.org/10.3390/su17188317,https://www.mdpi.com/2071-1050/17/18/8317,200,,,,doi_handle,Why Nobody Measures the Scope 4 (Avoided) Emissions? Let’s Get It Started!,2025,2026-09-11,
ebrd_paris_alignment_methodology,https://www.ebrd.com/content/dam/ebrd_dxp/assets/pdfs/green/Methodology%20to%20determne%20the%20Paris%20Agreement%20alignment%20of%20EBRD%20investments.pdf,https://www.ebrd.com/content/dam/ebrd_dxp/assets/pdfs/green/Methodology%20to%20determne%20the%20Paris%20Agreement%20alignment%20of%20EBRD%20investments.pdf,200,application/pdf,4738378,,urllib,,,2026-09-11,
ec_obfcm_first_report,https://climate.ec.europa.eu/document/download/b644dafe-1385-4b56-98d9-21e7e9f3601b_en?filename=report.pdf,https://climate.ec.europa.eu/document/download/b644dafe-1385-4b56-98d9-21e7e9f3601b_en?filename=report.pdf,200,application/pdf,556540,,urllib,,,2026-09-11,
erickson_assessing_carbon_lock_in,https://doi.org/10.1088/1748-9326/10/8/084023,https://iopscience.iop.org/article/10.1088/1748-9326/10/8/084023,200,,,,doi_handle,Assessing carbon lock-in,2015,2026-09-11,
eu_climate_benchmarks_regulation,https://eur-lex.europa.eu/eli/reg_del/2020/1818/oj,https://eur-lex.europa.eu/eli/reg_del/2020/1818/oj,200,text/html; charset=UTF-8,,,urllib,,,2026-09-11,
gfanz_portfolio_alignment,https://assets.bbhub.io/company/sites/63/2022/06/GFANZ_-2022-Concept-Note-on-Portfolio-Alignment-Measurement_June2022.pdf,https://assets.bbhub.io/company/sites/63/2022/06/GFANZ_-2022-Concept-Note-on-Portfolio-Alignment-Measurement_June2022.pdf,200,application/pdf,355212,,urllib,,,2026-09-11,
ghgp_ami_white_paper,https://ghgprotocol.org/sites/default/files/2026-03/AMI-Phase1-WhitePaper-RFI.pdf,https://ghgprotocol.org/sites/default/files/2026-03/AMI-Phase1-WhitePaper-RFI.pdf,200,application/pdf,911279,,urllib,,,2026-09-11,
