key,file,source_url,content_type,bytes,sha256,access,fetched,fetched_with,note
afionis_consumption_based_future,afionis_consumption_based_future.pdf,https://eprints.whiterose.ac.uk/106968/8/Afionis_et_al-2017-Wiley_Interdisciplinary_Reviews-_Climate_Change.pdf,application/pdf,227005,5d8f4db6de79604391932ad0a1bdfbf85e8bbed23e226f356fab7a8d539f3d49,paywalled,2026-09-11,urllib,
bowman_pacer_framework,,https://www.tandfonline.com/doi/pdf/10.1080/17583004.2026.2682834?needAccess=true,,,,paywalled,2026-09-11,,not_saved: the publisher refuses automated requests; open it in a browser from the URL
brander_attributional_consequential,,https://www.tandfonline.com/doi/pdf/10.1080/17583004.2022.2088402?needAccess=true,,,,paywalled,2026-09-11,,not_saved: the publisher refuses automated requests; open it in a browser from the URL
bylahally_credit_allocation,,,,,,paywalled,2026-09-11,,not_saved: no open copy is published; the row carries the DOI and the publisher's terms
carbon_majors,carbon_majors.pdf,https://carbonmajors.org/site/data/000/027/Carbon_Majors_Launch_Report.pdf,application/pdf,1342948,f01c119965496abb3182a3188f3eff4566410cd0ffe242aa16927662d156a5f1,free,2026-09-11,urllib,
carbone4_nzi_pillar_b,carbone4_nzi_pillar_b.pdf,https://carbone4.com/files/Net_Zero_Initiative_The_pillar_B_guide.pdf,application/pdf,6380726,64a3cc52d659e5d2fa4ec31ed586da8b6c79d3c72afaeeccb35bee65fb433687,free,2026-09-11,urllib,
cbam_regulation,cbam_regulation.html,https://eur-lex.europa.eu/eli/reg/2023/956/oj,text/html; charset=UTF-8,757212,03258bef7563dbdff5198b87e00767ee773285aa9db22a9ec7e7d5eb08aa5722,free,2026-09-11,urllib,
cdm_tool07_grid_emission_factor,cdm_tool07_grid_emission_factor.pdf,https://cdm.unfccc.int/methodologies/PAmethodologies/tools/am-tool-07-v7.0.pdf,application/pdf,1231188,7f3864427916369b25b960ace50b5eed74b57530a14e421dc70ce35bae83bf5b,free,2026-09-11,urllib,
cdp_scope3_relevance,cdp_scope3_relevance.pdf,https://cdn.cdp.net/cdp-production/cms/guidance_docs/pdfs/000/003/504/original/CDP-technical-note-scope-3-relevance-by-sector.pdf,application/pdf,6782610,86fb2a0480030402e6369de02d872c021b12ec9ae0b6aad516abaf167cafb625,free,2026-09-11,urllib,
censkowsky_export_finance_shift,censkowsky_export_finance_shift.pdf,https://www.nature.com/articles/s41467-025-55981-0.pdf,application/pdf,9677295,6d8a17217dbccdfcdf1fe1e422663f30ebea5b8c0c1863d0bb8cccbff0bb1c66,free,2026-09-11,urllib,
climate_analytics_australia_footprint,climate_analytics_australia_footprint.pdf,https://ca1-clm.edcdn.com/publications/Aust_fossilcarbon_footprint.pdf,application/pdf,3388819,a00f548c9de6be7ba97dc43becef6f37eb61ba6bbbed51c2633afeb34a7ddf45,free,2026-09-11,urllib,
cui_coal_plant_lifetimes,cui_coal_plant_lifetimes.pdf,https://www.nature.com/articles/s41467-019-12618-3.pdf,application/pdf,1510184,2d4358d0d7d0fefb0e2174544860b9b87b073fdc57129071a8a20e1535442415,free,2026-09-11,urllib,
davis_caldeira_consumption_based,davis_caldeira_consumption_based.pdf,https://europepmc.org/articles/PMC2851800?pdf=render,application/pdf,682251,09cc4227942c3512a8a3a08e72d9d0cab86974d32e907fd786eb4247596c6f18,free,2026-09-11,urllib,
davis_future_co2,,,,,,paywalled,2026-09-11,,not_saved: no open copy is published; the row carries the DOI and the publisher's terms
davis_socolow_commitment_accounting,,https://iopscience.iop.org/article/10.1088/1748-9326/9/8/084018/pdf,text/html; charset=UTF-8,14371,,free,2026-09-11,urllib,not_saved: the publisher refuses automated requests; open it in a browser from the URL
de_giovanni_scope4,,https://www.mdpi.com/2071-1050/17/18/8317/pdf?version=1758099876,,,,free,2026-09-11,,not_saved: the publisher refuses automated requests; open it in a browser from the URL
ebrd_paris_alignment_methodology,ebrd_paris_alignment_methodology.pdf,https://www.ebrd.com/content/dam/ebrd_dxp/assets/pdfs/green/Methodology%20to%20determne%20the%20Paris%20Agreement%20alignment%20of%20EBRD%20investments.pdf,application/pdf,4738378,209990c693254abec53e96b1c613866013108227e7d14c38c289eb4a86fd3746,free,2026-09-11,urllib,
ec_obfcm_first_report,ec_obfcm_first_report.pdf,https://climate.ec.europa.eu/document/download/b644dafe-1385-4b56-98d9-21e7e9f3601b_en?filename=report.pdf,application/pdf,556540,87d0fe827c4799d049ee3504a449a24fc44de05384b0581d8de5546a19b3cfe0,free,2026-09-11,urllib,
erickson_assessing_carbon_lock_in,,https://iopscience.iop.org/article/10.1088/1748-9326/10/8/084023/pdf,text/html; charset=UTF-8,14371,,free,2026-09-11,urllib,not_saved: the publisher refuses automated requests; open it in a browser from the URL
eu_climate_benchmarks_regulation,eu_climate_benchmarks_regulation.html,https://eur-lex.europa.eu/eli/reg_del/2020/1818/oj,text/html; charset=UTF-8,339573,5748da926c5792bd22cd6ad8765b87a4be57037bd7caa80f77e8277dc1e4ba97,free,2026-09-11,urllib,
gfanz_portfolio_alignment,gfanz_portfolio_alignment.pdf,https://assets.bbhub.io/company/sites/63/2022/06/GFANZ_-2022-Concept-Note-on-Portfolio-Alignment-Measurement_June2022.pdf,application/pdf,355212,c21c51deaa602c3cf8e20cd60156d6a9d6786d1bf85d05b7d9da9dce0dd97181,free,2026-09-11,urllib,
ghgp_ami_white_paper,ghgp_ami_white_paper.pdf,https://ghgprotocol.org/sites/default/files/2026-03/AMI-Phase1-WhitePaper-RFI.pdf,application/pdf,911279,9b798790172b12f7a5d884879368821064708a477b44709b1a3097772aa5b365,free,2026-09-11,urllib,
ghgp_policy_action_standard,ghgp_policy_action_standard.pdf,https://ghgprotocol.org/sites/default/files/standards/Policy%20and%20Action%20Standard.pdf,application/pdf,3720475,96ea45aa416ccf0dea66011793f492c3a0530cf37a6b982d91cd115f153b0920,free,2026-09-11,urllib,
ghgp_project_protocol,ghgp_project_protocol.pdf,https://ghgprotocol.org/sites/default/files/standards/ghg_project_accounting.pdf,application/pdf,8891580,aa927b581f119fcfa21a745365c3e4525817117e836fb362dbede78530e64c8a,free,2026-09-11,urllib,
ghgp_scope3_standard,ghgp_scope3_standard.html,https://ghgprotocol.org/corporate-value-chain-scope-3-standard,text/html; charset=utf-8,81332,9c6126c7961c0db8a87b701dc11033d466278cf089dfe609fbbb9fdac61d1494,free,2026-09-11,urllib,
ghgp_scope3_technical_guidance,ghgp_scope3_technical_guidance.html,https://ghgprotocol.org/scope-3-calculation-guidance-2,text/html; charset=utf-8,71205,5457443d53706801c5ea437b9135dd0b3ead9602c1378a438d25a5ccf1b4ebc7,free,2026-09-11,urllib,
glasgow_statement_cetp,glasgow_statement_cetp.html,https://www.cleanenergytransitionpartnership.org/statement/,text/html; charset=UTF-8,39731,07cf4431713e5803ec905603d05a1f99a5984a7eda11c6e02434ea49cee5d4a9,free,2026-09-11,urllib,
greenpeace_auto_environmental_guide,greenpeace_auto_environmental_guide.pdf,https://www.greenpeace.org/static/planet4-eastasia-stateless/2023/10/9965e919-auto-environmental-guide-2023_greenpeaceea.pdf,application/pdf,1599807,98c94d30b021fd54ca7d87ecf7f5a700accf337a60a5f501faa05d526988cd11,free,2026-09-11,urllib,
gronman_carbon_handprint,gronman_carbon_handprint.pdf,http://lutpub.lut.fi/handle/10024/158645,application/pdf,692073,ceb395190a384b909b96db17ae82054998c2f0706b0727afdb6178c0132ae505,paywalled,2026-09-11,by_hand,saved from a browser: the publisher refuses automated requests
guo_overseas_coal_emissions,,https://discovery.ucl.ac.uk/id/eprint/10198656/1/Meng_Copy%20of%20manuscript.PDF,,,,paywalled,2026-09-11,,not_saved: the publisher refuses automated requests; open it in a browser from the URL
icct_global_automaker_rating,icct_global_automaker_rating.pdf,https://theicct.org/wp-content/uploads/2023/05/The-Global-Automaker-Rating-2022_final.pdf,application/pdf,2941060,8eeb2b94460c00d55060da3bc51f31150ce320869d68af54814bcabc9ffbe289,free,2026-09-11,urllib,
icct_global_lca_cars_2021,icct_global_lca_cars_2021.pdf,https://theicct.org/sites/default/files/publications/Global-LCA-passenger-cars-jul2021_0.pdf,application/pdf,2173387,c09ab087882f193282f786b08cb9aa919749c1d0ddd1b1a625b114dd3fc7af40,free,2026-09-11,urllib,
icct_lab_to_road_international,icct_lab_to_road_international.pdf,https://theicct.org/wp-content/uploads/2021/06/Lab-to-road-intl_ICCT-white-paper_06112017_vF.pdf,application/pdf,1829755,d42a644cf973e4fd7d2db480e6e25338e4d83add07a12bd99a9eb4078d7c7840,free,2026-09-11,urllib,
icct_real_world_co2_2026,icct_real_world_co2_2026.pdf,https://theicct.org/wp-content/uploads/2026/06/ID-627-%E2%80%93-Real-world-CO2-values_report_final.pdf,application/pdf,1384098,82dc3f0749326fb560dd50a064292302df7ebd181fb648cf7c0f02619633448a,free,2026-09-11,urllib,
iea_global_ev_outlook,iea_global_ev_outlook.html,https://www.iea.org/reports/global-ev-outlook-2026,text/html; charset=utf-8,294499,cede9fcea2034b146ce67dbc2cf52fc384cba7624c153df47fb46fda463f9e3c,free,2026-09-11,urllib,
iea_weo_2024,iea_weo_2024.html,https://www.iea.org/reports/world-energy-outlook-2024,text/html; charset=utf-8,330646,e07df73f0fd08fae7070d41a8b20bc2c894aebf6d25d8a0922db058c2ed9fd19,registration,2026-09-11,urllib,
ifi_ghg_accounting_renewables,ifi_ghg_accounting_renewables.pdf,https://documents1.worldbank.org/curated/en/758831468197412195/pdf/101532-WP-P143154-PUBLIC-Box394816B-Joint-IFI-RE-GHG-Accounting-Approach-clean-final-11-30.pdf,application/pdf;charset=utf-8,379339,b3006410ad6e92e247560d36c77012d4f044e7302b0ae8aa00463c8239ff22bf,free,2026-09-11,urllib,
ifrs_s2,,https://www.ifrs.org/issued-standards/ifrs-sustainability-standards-navigator/ifrs-s2-climate-related-disclosures/,text/html;charset=utf-8,113635,,registration,2026-09-11,urllib,"not_saved: behind a registration or login gate; free to read, but the file is not served"
iigcc_cumulative_benchmark_divergence,iigcc_cumulative_benchmark_divergence.pdf,https://www.iigcc.org/hubfs/2024%20resources%20uploads/CBD%20methodology_February2024.pdf,application/pdf,807995,0d62ae548af9cf945f323a9f67355c33b8d88ab3868417723501542da4cff236,free,2026-09-11,urllib,
influencemap_auto_climate,influencemap_auto_climate.pdf,https://influencemap.org/site/data/000/028/Automaker_Climate-Lobbying_05-24.pdf,application/pdf,2599410,ed29116ebb3e2104513c92956a06e8dd68290b249325fdc11468cb5ecbe0dd0b,free,2026-09-11,urllib,
ipcc_2006_national_territory,ipcc_2006_national_territory.pdf,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/1_Volume1/V1_1_Ch1_Introduction.pdf,application/pdf,220500,e6fe0f8ca600d0ef2e3c1cea7295e867cfc046b3ceb6db22b069b14e9066e6c2,free,2026-09-11,urllib,
